"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Xia D.; Xu Y.; Mannering J.; Ma X.; Ismail M.S.; Borman D.; Baker D.L.; Pourkashanian M.; Menzel R.","Xia, Dong (56198800100); Xu, Yifei (57102059900); Mannering, Jamie (57211482366); Ma, Xiaolong (57221307596); Ismail, M.S. (35217723300); Borman, Duncan (6507564744); Baker, Daniel L. (57203745806); Pourkashanian, Mohamed (7004225021); Menzel, Robert (56561955500)","56198800100; 57102059900; 57211482366; 57221307596; 35217723300; 6507564744; 57203745806; 7004225021; 56561955500","Tuning the Electrical and Solar Thermal Heating Efficiencies of Nanocarbon Aerogels","2021","Chemistry of Materials","33","1","","392","402","10","32","10.1021/acs.chemmater.0c04166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098747968&doi=10.1021%2facs.chemmater.0c04166&partnerID=40&md5=294351633c66543884fe2490d7e8536c","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85098747968"
"Garg H.; Yang K.; Cohn A.G.; Borman D.; Nanukuttan S.V.; Basheer P.A.M.","Garg, H. (58998136200); Yang, K. (56970113600); Cohn, A.G. (57225810681); Borman, D. (6507564744); Nanukuttan, S.V. (23036324000); Basheer, P.A.M. (57220208073)","58998136200; 56970113600; 57225810681; 6507564744; 23036324000; 57220208073","Automated Piecewise Linear Regression for Analyzing Structural Health Monitoring Data","2024","ACI Materials Journal","121","2","","93","104","11","0","10.14359/51740370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191040346&doi=10.14359%2f51740370&partnerID=40&md5=74157bb05dabd7f284ece1ab113587d9","Article","Final","","Scopus","2-s2.0-85191040346"
"Borman D.; Sleigh A.","Borman, Duncan (6507564744); Sleigh, Andy (57266098300)","6507564744; 57266098300","An evaluation of the use of interactive approaches and integrated on-line resources","2011","Teaching Mathematics and its Applications","30","4","hrr019","166","177","11","2","10.1093/teamat/hrr019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-82455178951&doi=10.1093%2fteamat%2fhrr019&partnerID=40&md5=46a0d5bf1e25f646d2484bbba77f6aa5","Article","Final","","Scopus","2-s2.0-82455178951"
"Bose A.; Borman D.J.; Hunter T.N.; Spencer J.T.; Cunliffe C.J.","Bose, Aniruddha (57987113600); Borman, Duncan J (6507564744); Hunter, Timothy N (21734710500); Spencer, Julian T (7402631030); Cunliffe, Christopher J (57198859594)","57987113600; 6507564744; 21734710500; 7402631030; 57198859594","Numerical investigation of fill height and secondary currents in an inclined partially filled pipe flow","2024","Journal of Physics: Conference Series","2899","1","012017","","","","0","10.1088/1742-6596/2899/1/012017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212833612&doi=10.1088%2f1742-6596%2f2899%2f1%2f012017&partnerID=40&md5=80e97893609b7388cd3b56ccd48c3e25","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85212833612"
"Greiciunas E.; Borman D.; Summers J.","Greiciunas, Evaldas (57193762486); Borman, Duncan (6507564744); Summers, Jon (7202483248)","57193762486; 6507564744; 7202483248","Transitional fluid flow numerical modelling in sinusoidal heat exchanger channels","2016","International Conference on Computational Methods for Thermal Problems","0","","","","","4","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053695738&partnerID=40&md5=752dcfbb78cb6e8477b78a97baa68d91","Conference paper","Final","","Scopus","2-s2.0-85053695738"
"Carr A.B.; Trigg M.A.; Tshimanga R.M.; Smith M.W.; Borman D.J.; Bates P.D.","Carr, Andrew B. (57210206389); Trigg, Mark A. (27468024100); Tshimanga, Raphael M. (37029312800); Smith, Mark W. (55698400500); Borman, Duncan J. (6507564744); Bates, Paul D. (56242669500)","57210206389; 27468024100; 37029312800; 55698400500; 6507564744; 56242669500","Estimation of Bathymetry for Modeling Multi-thread Channel Hydraulics: Application to the Congo River Middle Reach","2022","Congo Basin Hydrology, Climate, and Biogeochemistry: A Foundation for the Future","","","","275","293","18","2","10.1002/9781119657002.ch15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147973934&doi=10.1002%2f9781119657002.ch15&partnerID=40&md5=7195cac31e10bb0f327742ce11485697","Book chapter","Final","","Scopus","2-s2.0-85147973934"
"Dawson M.; Borman D.; Hammond R.B.; Lesnic D.; Rhodes D.","Dawson, Michael (55295568400); Borman, Duncan (6507564744); Hammond, Robert B. (16315925300); Lesnic, Daniel (7007117176); Rhodes, Dominic (16302094400)","55295568400; 6507564744; 16315925300; 7007117176; 16302094400","Moving boundary models for the growth of crystalline deposits from undetected leakages of industrial process liquors","2014","Computers and Chemical Engineering","71","","","331","346","15","9","10.1016/j.compchemeng.2014.08.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907569048&doi=10.1016%2fj.compchemeng.2014.08.011&partnerID=40&md5=3f1f352a716107d1add65cae249ba577","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84907569048"
"Samuel J J.; Mullis A.M.; Borman D.J.","Samuel J, Jo (59125187600); Mullis, Andrew M. (7005418040); Borman, Duncan J. (6507564744)","59125187600; 7005418040; 6507564744","CFD modelling of Close-Coupled Gas Atomisation (CCGA) process by employing the Euler-Lagrange approach to understand melt flow instabilities","2024","Chemical Engineering Science","295","","120205","","","","1","10.1016/j.ces.2024.120205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192976378&doi=10.1016%2fj.ces.2024.120205&partnerID=40&md5=e647595fbbdcad8b49c924edbc556109","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85192976378"
"Uryga-Bugajska I.; Catalanotti E.; Pourkashanian M.; Ma L.; Borman D.; Wilson C.W.","Uryga-Bugajska, I. (34873962900); Catalanotti, E. (35168591000); Pourkashanian, M. (7004225021); Ma, L. (56727012700); Borman, D. (6507564744); Wilson, C.W. (35563558700)","34873962900; 35168591000; 7004225021; 56727012700; 6507564744; 35563558700","Assesment of the performance of alternative aviation fuel in a Modern Air-spray Combustor (MAC)","2009","ASME International Mechanical Engineering Congress and Exposition, Proceedings","3","","","61","69","8","0","10.1115/IMECE2008-68772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70149086259&doi=10.1115%2fIMECE2008-68772&partnerID=40&md5=b71f6c09102cfc7e9a49578afece99d1","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-70149086259"
"Chalk C.M.; Pastor M.; Peakall J.; Borman D.J.; Sleigh P.A.; Murphy W.; Fuentes R.","Chalk, C.M. (57216360929); Pastor, M. (35085209600); Peakall, J. (6602294843); Borman, D.J. (6507564744); Sleigh, P.A. (57266098300); Murphy, W. (55729913700); Fuentes, R. (35188883400)","57216360929; 35085209600; 6602294843; 6507564744; 57266098300; 55729913700; 35188883400","Stress-Particle Smoothed Particle Hydrodynamics: An application to the failure and post-failure behaviour of slopes","2020","Computer Methods in Applied Mechanics and Engineering","366","","113034","","","","29","10.1016/j.cma.2020.113034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083341996&doi=10.1016%2fj.cma.2020.113034&partnerID=40&md5=91ad485973ee02db3994c4f5cf905855","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85083341996"
"Torres C.; Borman D.; Matos J.; Neeve D.","Torres, Caterina (57204040583); Borman, Duncan (6507564744); Matos, Jorge (7101719919); Neeve, David (56411953500)","57204040583; 6507564744; 7101719919; 56411953500","CFD Modeling of Scale Effects on Free-Surface Flow over a Labyrinth Weir and Spillway","2022","Journal of Hydraulic Engineering","148","7","04022011","","","","7","10.1061/(ASCE)HY.1943-7900.0001989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129597406&doi=10.1061%2f%28ASCE%29HY.1943-7900.0001989&partnerID=40&md5=a44ae281aaca1a23d7efe35e309c6b9c","Article","Final","","Scopus","2-s2.0-85129597406"
"Torres C.; Borman D.; Sleigh A.; Neeve D.","Torres, Caterina (57204040583); Borman, Duncan (6507564744); Sleigh, Andrew (57266098300); Neeve, David (56411953500)","57204040583; 6507564744; 57266098300; 56411953500","Application of Three-Dimensional CFD VOF to Characterize Free-Surface Flow over Trapezoidal Labyrinth Weir and Spillway","2021","Journal of Hydraulic Engineering","147","3","04021002","","","","14","10.1061/(ASCE)HY.1943-7900.0001852","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099406603&doi=10.1061%2f%28ASCE%29HY.1943-7900.0001852&partnerID=40&md5=0188ba74e22735f3bec4aac416b6b985","Article","Final","","Scopus","2-s2.0-85099406603"
"Padgett T.E.; Thomas R.E.; Borman D.J.; Mould D.C.","Padgett, Thomas E. (57214993293); Thomas, Robert E. (55481776200); Borman, Duncan J. (6507564744); Mould, David C. (7004613684)","57214993293; 55481776200; 6507564744; 7004613684","Erratum :Individual-based model of juvenile eel movement parametrized with computational fluid dynamics derived flow fields informs improved fish pass design (Royal society open science (2020) 7 (191505) (doi: 10.1098/rsos.191505)","2020","Royal Society Open Science","7","2","200158","","","","1","10.1098/rsos.200158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081684838&doi=10.1098%2frsos.200158&partnerID=40&md5=c4fd70c0116c22d89f6116eebc01b271","Erratum","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85081684838"
