"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Marjanovic L.; Cook M.; Hanby V.; Rees S.","Marjanovic, Ljiljana (56316788800); Cook, Malcom (8088592400); Hanby, Vic (57191050581); Rees, Simon (7103148081)","56316788800; 8088592400; 57191050581; 7103148081","CFD modelling of convective heat transfer from a window with adjacent venetian blinds","2005","IBPSA 2005 - International Building Performance Simulation Association 2005","","","","709","716","7","9","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869782415&partnerID=40&md5=c29b5275a66a70bbb6d8f3e7709a95e0","Conference paper","Final","","Scopus","2-s2.0-84869782415"
"Dalenius T.N.; Rees S.; Richardson M.","Dalenius, Tove N. (57194397996); Rees, Simon (7103148081); Richardson, Martin (7401977185)","57194397996; 7103148081; 7401977185","Holographic data visualization: Using synthetic full-parallax holography to share information","2017","Proceedings of SPIE - The International Society for Optical Engineering","10127","","1012706","","","","4","10.1117/12.2249859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019890723&doi=10.1117%2f12.2249859&partnerID=40&md5=fbe48704733e837a0c3400b9801f8611","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85019890723"
"O'Neill Z.D.; Spitler J.D.; Rees S.J.","O'Neill, Zheng Deng (15045472400); Spitler, Jeffrey D. (7004014855); Rees, Simon J. (7103148081)","15045472400; 7004014855; 7103148081","Performance analysis of standing column well ground heat exchanger systems","2006","ASHRAE Transactions","112 PART 2","","","633","643","10","44","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750367432&partnerID=40&md5=e93e986edebb90a6bdbfac63404dfc59","Conference paper","Final","","Scopus","2-s2.0-33750367432"
"Dadioti R.; Rees S.","Dadioti, Rallou (55907430200); Rees, Simon (7103148081)","55907430200; 7103148081","Operational performance and calibrated model analysis of a large low-energy university building","2013","Proceedings of BS 2013: 13th Conference of the International Building Performance Simulation Association","","","","1675","1682","7","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886691600&partnerID=40&md5=9e276fd8bf5b64e60110903c8d02ab2d","Conference paper","Final","","Scopus","2-s2.0-84886691600"
"Liu X.; Rees S.J.; Spitler J.D.","Liu, Xiaobing (55717154500); Rees, Simon J. (7103148081); Spitler, Jeffrey D. (7004014855)","55717154500; 7103148081; 7004014855","Modeling snow melting on heated pavement surfaces. Part II: Experimental validation","2007","Applied Thermal Engineering","27","5-6","","1125","1131","6","104","10.1016/j.applthermaleng.2006.07.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845570663&doi=10.1016%2fj.applthermaleng.2006.07.029&partnerID=40&md5=b890f5214953a43ac3844c8f5a36e8fa","Article","Final","","Scopus","2-s2.0-33845570663"
"Meibodi S.S.; Rees S.; Loveridge F.","Meibodi, Saleh S. (57214593635); Rees, Simon (7103148081); Loveridge, Fleur (36101518200)","57214593635; 7103148081; 36101518200","Modeling district heating pipelines using a hybrid dynamic thermal network approach","2024","Energy","290","","130107","","","","6","10.1016/j.energy.2023.130107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182030427&doi=10.1016%2fj.energy.2023.130107&partnerID=40&md5=d20a415394e9152ef4405beafa453b82","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182030427"
"Ezzeldin S.; Rees S.; Cook M.","Ezzeldin, Sherif (55503916400); Rees, Simon (7103148081); Cook, Malcolm (8088592400)","55503916400; 7103148081; 8088592400","Performance of mixed-mode cooling strategies for office buildings in arid climates","2009","IBPSA 2009 - International Building Performance Simulation Association 2009","","","","1053","1060","7","11","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870160964&partnerID=40&md5=94b68c0917035c5de0b47f837852cd74","Conference paper","Final","","Scopus","2-s2.0-84870160964"
"Orio C.D.; Chiasson A.; Johnson C.N.; Deng Z.; Rees S.J.; Spitler J.D.","Orio, Carl D. (6507728739); Chiasson, A. (6602877091); Johnson, Carl N. (56256415600); Deng, Zheng (36839216700); Rees, Simon J. (7103148081); Spitler, Jeffrey D. (7004014855)","6507728739; 6602877091; 56256415600; 36839216700; 7103148081; 7004014855","A survey of standing column well installations in North America","2005","ASHRAE Transactions","111 PART 2","","4794 (RP-1119)","109","121","12","47","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144436251&partnerID=40&md5=40278755b933d07f44c694a113f01ca5","Conference paper","Final","","Scopus","2-s2.0-29144436251"
"Rees S.J.; Spitler J.D.; Deng Z.; Orlo C.D.; Johnson C.N.","Rees, Simon J. (7103148081); Spitler, Jeffrey D. (7004014855); Deng, Zheng (36839216700); Orlo, Carl D. (6504521320); Johnson, Carl N. (56256415600)","7103148081; 7004014855; 36839216700; 6504521320; 56256415600","A study of geothermal heat pump and standing column well performance","2004","2004 Winter Meeting - Technical and Symposium Papers, American Society of Heating, Refrigerating and Air-Conditioning Engineers","","","","1","10","9","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-8344238276&partnerID=40&md5=59050c14d2ef4a8b1d07cafe14b89c40","Conference paper","Final","","Scopus","2-s2.0-8344238276"
"Naicker S.S.; Rees S.J.","Naicker, Selvaraj S. (56809027000); Rees, Simon J. (7103148081)","56809027000; 7103148081","Long-term high frequency monitoring of a large borehole heat exchanger array","2020","Renewable Energy","145","","","1528","1542","14","29","10.1016/j.renene.2019.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069617325&doi=10.1016%2fj.renene.2019.07.008&partnerID=40&md5=8c500635a635ad635367a68353961523","Article","Final","","Scopus","2-s2.0-85069617325"
