"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Lebu S.; Sprouse L.; Akudago J.A.; Twinomucunguzi F.R.B.; Rosenberg R.; Lugali Y.S.; Aine B.M.; Nguyen J.T.-U.; Muoghalu C.C.; Semiyaga S.; Evans B.; Manga M.","Lebu, Sarah (57219130251); Sprouse, Lauren (57952947000); Akudago, John Apambilla (16314984300); Twinomucunguzi, Felix R.B. (57217006996); Rosenberg, Ruthie (57486702200); Lugali, Yvonne Sanyu (57190750404); Aine, Barbra Mary (59334347800); Nguyen, Jackqueline Tu-Uyen (59136694600); Muoghalu, Chimdi Catherine (58098694800); Semiyaga, Swaib (56196100600); Evans, Barbara (57199313235); Manga, Musa (57208886381)","57219130251; 57952947000; 16314984300; 57217006996; 57486702200; 57190750404; 59334347800; 59136694600; 58098694800; 56196100600; 57199313235; 57208886381","The case for shared sanitation access in informal settlements: A dialogue on science, policy, and practice integration","2024","PLOS Water","3","5 May","e0000243","","","","3","10.1371/journal.pwat.0000243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193757055&doi=10.1371%2fjournal.pwat.0000243&partnerID=40&md5=abcaa361f4f810dec1717c5a5bd488b5","Note","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85193757055"
"Mara D.; Evans B.","Mara, Duncan (7006944301); Evans, Barbara (57199313235)","7006944301; 57199313235","The sanitation and hygiene targets of the sustainable development goals: Scope and challenges","2018","Journal of Water Sanitation and Hygiene for Development","8","1","","1","16","15","56","10.2166/washdev.2017.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043322736&doi=10.2166%2fwashdev.2017.048&partnerID=40&md5=f03b9490bae933f4d7e553684d5d5e50","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85043322736"
"Rosato-Scott C.A.; Evans B.E.; Varampath A.; Fehnert B.; Barrington D.J.","Rosato-Scott, Claire A. (57204021958); Evans, Barbara E. (57199313235); Varampath, Abraham (59135728800); Fehnert, Ben (26534099300); Barrington, Dani J. (25922053200)","57204021958; 57199313235; 59135728800; 26534099300; 25922053200","Urinary incontinence in children aged 5 to 12 in an emergency setting: lessons learned in Ethiopia","2021","Waterlines","40","3","","179","191","12","3","10.3362/1756-3488.20-00017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171963166&doi=10.3362%2f1756-3488.20-00017&partnerID=40&md5=28c9011c009899dedfd49247f79b7b9e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85171963166"
"Wilcox J.; Kuria N.; Rutayisire B.; Sklar R.; Bartram J.; Evans B.","Wilcox, Jonathan (58789652400); Kuria, Nicholas (57441766100); Rutayisire, Bruce (57442516100); Sklar, Rachel (56594717800); Bartram, Jamie (6603696131); Evans, Barbara (57199313235)","58789652400; 57441766100; 57442516100; 56594717800; 6603696131; 57199313235","Cross-subsidies are a viable option to fund formal pit latrine emptying services: Evidence from Kigali, Rwanda","2024","PLoS ONE","19","8","e0307471","","","","0","10.1371/journal.pone.0307471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201731058&doi=10.1371%2fjournal.pone.0307471&partnerID=40&md5=381b0c0c836e02f695989a77372da252","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85201731058"
"Evans B.E.; Rowell D.P.; Semazzi F.H.M.","Evans, Barbara E. (57199313235); Rowell, David P. (7006263321); Semazzi, Frederick H.M. (35618283200)","57199313235; 7006263321; 35618283200","The future-climate, current-policy framework: Towards an approach linking climate science to sector policy development","2020","Environmental Research Letters","15","11","114037","","","","5","10.1088/1748-9326/abbeb9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096911367&doi=10.1088%2f1748-9326%2fabbeb9&partnerID=40&md5=c065fdea83ff59f16ae23f83bc17bba1","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85096911367"
"Balasubramanya S.; Evans B.; Hardy R.; Ahmed R.; Habib A.; Asad N.S.M.; Rahman M.; Hasan M.; Dey D.; Fletcher L.; Camargo-Valero M.A.; Rao K.C.; Fernando S.","Balasubramanya, Soumya (55215445900); Evans, Barbara (57199313235); Hardy, Richard (57193704517); Ahmed, Rizwan (38662322400); Habib, Ahasan (57213632441); Asad, N.S.M. (57191284342); Rahman, Mominur (59041365700); Hasan, M. (57213529660); Dey, Digbijoy (57104631800); Fletcher, Louise (7101843418); Camargo-Valero, Miller Alonso (16642000800); Rao, Krishna Chaitanya (56890164500); Fernando, Sudarshana (57193697996)","55215445900; 57199313235; 57193704517; 38662322400; 57213632441; 57191284342; 59041365700; 57213529660; 57104631800; 7101843418; 16642000800; 56890164500; 57193697996","Towards sustainable sanitation management: Establishing the costs and willingness to pay for emptying and transporting sludge in rural districts with high rates of access to latrines","2017","PLoS ONE","12","3","e0171735","","","","23","10.1371/journal.pone.0171735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016057050&doi=10.1371%2fjournal.pone.0171735&partnerID=40&md5=0151e54f3e861e9a9df76be6039558e2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85016057050"
"Evans B.","Evans, Barbara (57199313235)","57199313235","Financing sanitation - Looking for new approaches","2006","Waterlines","25","2","","5","7","2","1","10.3362/0262-8104.2006.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956129946&doi=10.3362%2f0262-8104.2006.045&partnerID=40&md5=affc8a74d27f59b5684a849d3b8eae0c","Article","Final","","Scopus","2-s2.0-79956129946"
"De Wit S.; Luseka E.; Bradley D.; Brown J.; Bhagwan J.; Evans B.; Freeman M.C.; Howard G.; Ray I.; Ross I.; Simiyu S.; Cumming O.; Chandler C.I.R.","De Wit, Sara (56909722700); Luseka, Euphrasia (57225942113); Bradley, David (35446788400); Brown, Joe (57205143695); Bhagwan, Jayant (16554055300); Evans, Barbara (57199313235); Freeman, Matthew C (23099628300); Howard, Guy (7202022099); Ray, Isha (7004434672); Ross, Ian (57194948788); Simiyu, Sheillah (54936238800); Cumming, Oliver (35069122800); Chandler, Clare I R (14049918700)","56909722700; 57225942113; 35446788400; 57205143695; 16554055300; 57199313235; 23099628300; 7202022099; 7004434672; 57194948788; 54936238800; 35069122800; 14049918700","Water, sanitation and hygiene (WASH): The evolution of a global health and development sector","2024","BMJ Global Health","9","10","e015367","","","","1","10.1136/bmjgh-2024-015367","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206844439&doi=10.1136%2fbmjgh-2024-015367&partnerID=40&md5=bf98022d32becf935ceeff4a2b0c3b20","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85206844439"
"Alam M.-U.; Gupta S.D.; Rosato-Scott C.; Shoaib D.M.; Ritu A.H.; Nowshin R.; Rahat M.A.; Akram N.; Rose J.; Evans B.E.; Barrington D.J.","Alam, Mahbub-Ul (57190745430); Gupta, Sudipta Das (58613504100); Rosato-Scott, Claire (57204021958); Shoaib, Dewan Muhammad (35485585300); Ritu, Asmaul Husna (57224094650); Nowshin, Rifat (57224079319); Rahat, Md Assaduzzaman (58613372500); Akram, Nowshad (58613399000); Rose, Joanne (24177251700); Evans, Barbara E. (57199313235); Barrington, Dani J. (25922053200)","57190745430; 58613504100; 57204021958; 35485585300; 57224094650; 57224079319; 58613372500; 58613399000; 24177251700; 57199313235; 25922053200","Experiences of children's self-wetting (including urinary incontinence) in Cox's Bazar's Rohingya refugee camps, Bangladesh","2024","PLOS Global Public Health","4","3","e0002362","","","","0","10.1371/journal.pgph.0002362","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195461199&doi=10.1371%2fjournal.pgph.0002362&partnerID=40&md5=5923133714e20a5944a84a0498447e8d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85195461199"
"Hyde-Smith L.; Roelich K.; Mdee A.; Zhan Z.; Evans B.","Hyde-Smith, Leonie (57458905200); Roelich, Katy (55763179700); Mdee, Anna (26640577600); Zhan, Zhe (57611436900); Evans, Barbara (57199313235)","57458905200; 55763179700; 26640577600; 57611436900; 57199313235","Blinded by the ‘green-halo’? Equity in financing climate adaptation of urban sanitation","2024","Environment and Planning E: Nature and Space","","","","","","","1","10.1177/25148486241287446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209186220&doi=10.1177%2f25148486241287446&partnerID=40&md5=b5c1a8c66bc5295238026d8dc528fc8f","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85209186220"
