"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Wilson A.M.; King M.-F.; Clifton I.; Proctor J.; Reynolds K.A.; Noakes C.J.","Wilson, Amanda M. (57195611222); King, Marco-Felipe (55383157200); Clifton, Ian (35271234500); Proctor, Jessica (57218161473); Reynolds, Kelly A. (7201538123); Noakes, Catherine J. (6603481396)","57195611222; 55383157200; 35271234500; 57218161473; 7201538123; 6603481396","Modelling the influence of room orientation and care type on differences in norovirus exposure via an air-surface interface transmission route","2020","16th Conference of the International Society of Indoor Air Quality and Climate: Creative and Smart Solutions for Better Built Environments, Indoor Air 2020","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101610609&partnerID=40&md5=3ffaac309546e88ff1aed8b45064ef9d","Conference paper","Final","","Scopus","2-s2.0-85101610609"
"Jin T.; Chen X.; Nishio M.; Zhuang L.; Shiomi H.; Tonosaki Y.; Yokohata R.; King M.-F.; Kang M.; Fujii K.; Zhang N.","Jin, Tianyi (57224825173); Chen, Xuguang (57221569613); Nishio, Masaya (57732853800); Zhuang, Linan (57731605900); Shiomi, Hiroyuki (57731347600); Tonosaki, Yosuke (57731606000); Yokohata, Ryoji (54960969000); King, Marco-Felipe (55383157200); Kang, Min (25647665500); Fujii, Kenkichi (57731606100); Zhang, Nan (56587197300)","57224825173; 57221569613; 57732853800; 57731605900; 57731347600; 57731606000; 54960969000; 55383157200; 25647665500; 57731606100; 56587197300","Interventions to prevent surface transmission of an infectious virus based on real human touch behavior: a case study of the norovirus","2022","International Journal of Infectious Diseases","122","","","83","92","9","9","10.1016/j.ijid.2022.05.047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131554180&doi=10.1016%2fj.ijid.2022.05.047&partnerID=40&md5=d72e0cf4852489165de2c406109317f3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131554180"
"Gough H.L.; Luo Z.; Halios C.H.; King M.-F.; Noakes C.J.; Grimmond C.S.B.; Barlow J.F.; Hoxey R.; Quinn A.D.","Gough, H.L. (57195310189); Luo, Z. (35746716000); Halios, C.H. (8705436400); King, M.-F. (55383157200); Noakes, C.J. (6603481396); Grimmond, C.S.B. (55188785600); Barlow, J.F. (7402197813); Hoxey, R. (7005085151); Quinn, A.D. (7102493009)","57195310189; 35746716000; 8705436400; 55383157200; 6603481396; 55188785600; 7402197813; 7005085151; 7102493009","Field measurement of natural ventilation rate in an idealised full-scale building located in a staggered urban array: Comparison between tracer gas and pressure-based methods","2018","Building and Environment","137","","","246","256","10","68","10.1016/j.buildenv.2018.03.055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045685510&doi=10.1016%2fj.buildenv.2018.03.055&partnerID=40&md5=2d2eb983e58b09429781a70b37459413","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85045685510"
"Snow S.; Boyson A.S.; Paas K.H.W.; Gough H.; King M.-F.; Barlow J.; Noakes C.J.; schraefel M.C.","Snow, Stephen (55841572100); Boyson, Amy S. (57208315641); Paas, Karlien H.W. (57195990930); Gough, Hannah (57195310189); King, Marco-Felipe (55383157200); Barlow, Janet (7402197813); Noakes, Catherine J. (6603481396); schraefel, M.C. (57193559107)","55841572100; 57208315641; 57195990930; 57195310189; 55383157200; 7402197813; 6603481396; 57193559107","Exploring the physiological, neurophysiological and cognitive performance effects of elevated carbon dioxide concentrations indoors","2019","Building and Environment","156","","","243","252","9","85","10.1016/j.buildenv.2019.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064459326&doi=10.1016%2fj.buildenv.2019.04.010&partnerID=40&md5=0e5bebe6f745c4f1da15df206de0dbb0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85064459326"
"Ibanga I.E.; Fletcher L.A.; Noakes C.J.; King M.F.; Steinberg D.","Ibanga, I.E. (57203816737); Fletcher, L.A. (7101843418); Noakes, C.J. (6603481396); King, M.F. (55383157200); Steinberg, D. (57203820878)","57203816737; 7101843418; 6603481396; 55383157200; 57203820878","Pilot-scale biofiltration at a materials recovery facility: The impact on bioaerosol control","2018","Waste Management","80","","","154","167","13","24","10.1016/j.wasman.2018.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053065485&doi=10.1016%2fj.wasman.2018.09.010&partnerID=40&md5=34ee42f50c40360fd8fc0e3dafed6cdd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85053065485"
"Wilson A.M.; King M.-F.; López-García M.; Clifton I.J.; Proctor J.; Reynolds K.A.; Noakes C.J.","Wilson, Amanda M. (57195611222); King, Marco-Felipe (55383157200); López-García, Martín (36647824200); Clifton, Ian J. (35271234500); Proctor, Jessica (57218161473); Reynolds, Kelly A. (7201538123); Noakes, Catherine J. (6603481396)","57195611222; 55383157200; 36647824200; 35271234500; 57218161473; 7201538123; 6603481396","Integrating CFD and exposure modeling for estimating viral exposures at the air-surface interface","2021","AIAA Aviation and Aeronautics Forum and Exposition, AIAA AVIATION Forum 2021","","","AIAA 2021-2740","","","","0","10.2514/6.2021-2740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126787099&doi=10.2514%2f6.2021-2740&partnerID=40&md5=d158881b99e90d926bd8f59ad8c0e538","Conference paper","Final","","Scopus","2-s2.0-85126787099"
"King M.-F.; Noakes C.J.","King, Marco-Felipe (55383157200); Noakes, Catherine J. (6603481396)","55383157200; 6603481396","The influence of street canyon design on hospital air quality","2015","Proceedings - Healthy Buildings 2015 America: Innovation in a Time of Energy Uncertainty and Climate Adaptation, HB 2015","2015-July","","","423","426","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052329519&partnerID=40&md5=bcba5f3616984ada3ce5179dcac41a54","Conference paper","Final","","Scopus","2-s2.0-85052329519"
"Edwards A.J.; King M.-F.; López-García M.; Peckham D.; Noakes C.J.","Edwards, A.J. (58209947400); King, M-F. (55383157200); López-García, M. (36647824200); Peckham, D. (7005935206); Noakes, C.J. (6603481396)","58209947400; 55383157200; 36647824200; 7005935206; 6603481396","Assessing the effects of transient weather conditions on airborne transmission risk in naturally ventilated hospitals","2024","Journal of Hospital Infection","148","","","1","10","9","1","10.1016/j.jhin.2024.02.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190406562&doi=10.1016%2fj.jhin.2024.02.017&partnerID=40&md5=a0d5c5cde8e2b466e95aa323bc934453","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190406562"
"King M.F.; Wilson A.M.; López-García M.; Proctor J.; Peckham D.G.; Clifton I.J.; Dancer S.J.; Noakes C.J.","King, M.F. (55383157200); Wilson, A.M. (57195611222); López-García, M. (36647824200); Proctor, J. (57218161473); Peckham, D.G. (7005935206); Clifton, I.J. (35271234500); Dancer, S.J. (7003919753); Noakes, C.J. (6603481396)","55383157200; 57195611222; 36647824200; 57218161473; 7005935206; 35271234500; 7003919753; 6603481396","Why is mock care not a good proxy for predicting hand contamination during patient care?","2021","Journal of Hospital Infection","109","","","44","51","7","8","10.1016/j.jhin.2020.11.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099380175&doi=10.1016%2fj.jhin.2020.11.016&partnerID=40&md5=677cfe5e2c3c56814c1b8072d2abf0eb","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85099380175"
"King M.-F.; Khan A.; Delbosc N.; Gough H.L.; Halios C.; Barlow J.F.; Noakes C.J.","King, Marco-Felipe (55383157200); Khan, Amirul (55800396100); Delbosc, Nicolas (22984829800); Gough, Hannah L. (57195310189); Halios, Christos (8705436400); Barlow, Janet F. (7402197813); Noakes, Catherine J. (6603481396)","55383157200; 55800396100; 22984829800; 57195310189; 8705436400; 7402197813; 6603481396","Modelling urban airflow and natural ventilation using a GPU-based lattice-Boltzmann method","2017","Building and Environment","125","","","273","284","11","60","10.1016/j.buildenv.2017.08.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032976429&doi=10.1016%2fj.buildenv.2017.08.048&partnerID=40&md5=d76f09890210c4d815a4a0649021299b","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85032976429"
