"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Maia A.G.; Camargo-Valero M.A.; Trigg M.A.; Khan A.","Maia, Adelena Gonçalves (57192681322); Camargo-Valero, Miller Alonso (16642000800); Trigg, Mark A. (27468024100); Khan, Amirul (55800396100)","57192681322; 16642000800; 27468024100; 55800396100","Uncertainty and Sensitivity Analysis in Reservoir Modeling: a Monte Carlo Simulation Approach","2024","Water Resources Management","38","8","","2835","2850","15","3","10.1007/s11269-024-03794-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186178469&doi=10.1007%2fs11269-024-03794-z&partnerID=40&md5=070670837be32799ee8756ccf7cd09f7","Article","Final","","Scopus","2-s2.0-85186178469"
"Ward P.J.; Jongman B.; Salamon P.; Simpson A.; Bates P.; De Groeve T.; Muis S.; De Perez E.C.; Rudari R.; Trigg M.A.; Winsemius H.C.","Ward, Philip J. (55939005100); Jongman, Brenden (55324365800); Salamon, Peter (57197924232); Simpson, Alanna (56735382900); Bates, Paul (56242669500); De Groeve, Tom (6506812055); Muis, Sanne (56524665900); De Perez, Erin Coughlan (56612063700); Rudari, Roberto (6507764404); Trigg, Mark A. (27468024100); Winsemius, Hessel C. (15128343400)","55939005100; 55324365800; 57197924232; 56735382900; 56242669500; 6506812055; 56524665900; 56612063700; 6507764404; 27468024100; 15128343400","Usefulness and limitations of global flood risk models","2015","Nature Climate Change","5","8","","712","715","3","205","10.1038/nclimate2742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937894285&doi=10.1038%2fnclimate2742&partnerID=40&md5=6004814f8c4e7a166b294c3891a0b2b9","Short survey","Final","","Scopus","2-s2.0-84937894285"
"Talling P.J.; Baker M.L.; Pope E.L.; Ruffell S.C.; Jacinto R.S.; Heijnen M.S.; Hage S.; Simmons S.M.; Hasenhündl M.; Heerema C.J.; McGhee C.; Apprioual R.; Ferrant A.; Cartigny M.J.B.; Parsons D.R.; Clare M.A.; Tshimanga R.M.; Trigg M.A.; Cula C.A.; Faria R.; Gaillot A.; Bola G.; Wallance D.; Griffiths A.; Nunny R.; Urlaub M.; Peirce C.; Burnett R.; Neasham J.; Hilton R.J.","Talling, Peter J. (6603791177); Baker, Megan L. (57200117600); Pope, Ed L. (56763738800); Ruffell, Sean C. (57647194100); Jacinto, Ricardo Silva (6507555579); Heijnen, Maarten S. (57203316664); Hage, Sophie (57194639954); Simmons, Stephen M. (35759694900); Hasenhündl, Martin (57475617800); Heerema, Catharina J. (57212463929); McGhee, Claire (57218874413); Apprioual, Ronan (15767106800); Ferrant, Anthony (57773079700); Cartigny, Matthieu J. B. (56726827900); Parsons, Daniel R. (56144688000); Clare, Michael A. (56082708000); Tshimanga, Raphael M. (37029312800); Trigg, Mark A. (27468024100); Cula, Costa A. (57772733400); Faria, Rui (57200767524); Gaillot, Arnaud (57103422700); Bola, Gode (57773079800); Wallance, Dec (57811230800); Griffiths, Allan (57772733500); Nunny, Robert (58418048100); Urlaub, Morelia (36449482200); Peirce, Christine (6602175860); Burnett, Richard (57772555600); Neasham, Jeffrey (6602109044); Hilton, Robert J. (24385259400)","6603791177; 57200117600; 56763738800; 57647194100; 6507555579; 57203316664; 57194639954; 35759694900; 57475617800; 57212463929; 57218874413; 15767106800; 57773079700; 56726827900; 56144688000; 56082708000; 37029312800; 27468024100; 57772733400; 57200767524; 57103422700; 57773079800; 57811230800; 57772733500; 58418048100; 36449482200; 6602175860; 57772555600; 6602109044; 24385259400","Longest sediment flows yet measured show how major rivers connect efficiently to deep sea","2022","Nature Communications","13","1","4193","","","","65","10.1038/s41467-022-31689-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134521250&doi=10.1038%2fs41467-022-31689-3&partnerID=40&md5=39770b1f0c34a440aa2f74a75d207f7e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85134521250"
"Tshimanga R.M.; Trigg M.A.; Neal J.; Ndomba P.M.; Hughes D.A.; Carr A.B.; Kabuya P.M.; Bola G.B.; Mushi C.A.; Beya J.T.; Ngandu F.K.; Mokango G.M.; Mtalo F.; Bates P.D.","Tshimanga, Raphael M. (37029312800); Trigg, Mark A. (27468024100); Neal, Jeffrey (16039644600); Ndomba, Preksedis M. (24477900300); Hughes, Denis A. (7403464327); Carr, Andrew B. (57210206389); Kabuya, Pierre Mulamba (57189274566); Bola, Gode B. (57773079800); Mushi, Catherine A. (57207449470); Beya, Jules T. (57230714600); Ngandu, Felly K. (58101552200); Mokango, Gabriel M. (57904034300); Mtalo, Felix (24491912000); Bates, Paul D. (56242669500)","37029312800; 27468024100; 16039644600; 24477900300; 7403464327; 57210206389; 57189274566; 57773079800; 57207449470; 57230714600; 58101552200; 57904034300; 24491912000; 56242669500","New Measurements of Water Dynamics and Sediment Transport along the Middle Reach of the Congo River and the Kasai Tributary","2022","Congo Basin Hydrology, Climate, and Biogeochemistry: A Foundation for the Future","","","","447","467","20","2","10.1002/9781119657002.ch23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147964282&doi=10.1002%2f9781119657002.ch23&partnerID=40&md5=089157c7be2ef31977ce9a19a7370e80","Book chapter","Final","","Scopus","2-s2.0-85147964282"
"Trigg M.A.; Birch C.E.; Neal J.C.; Bates P.D.; Smith A.; Sampson C.C.; Yamazaki D.; Hirabayashi Y.; Pappenberger F.; Dutra E.; Ward P.J.; Winsemius H.C.; Salamon P.; Dottori F.; Rudari R.; Kappes M.S.; Simpson A.L.; Hadzilacos G.; Fewtrell T.J.","Trigg, M.A. (27468024100); Birch, C.E. (34976155900); Neal, J.C. (16039644600); Bates, P.D. (56242669500); Smith, A. (56410082400); Sampson, C.C. (37361381700); Yamazaki, D. (35231763100); Hirabayashi, Y. (36463595600); Pappenberger, F. (12242898700); Dutra, E. (25926243900); Ward, P.J. (55939005100); Winsemius, H.C. (15128343400); Salamon, P. (57197924232); Dottori, F. (26039063600); Rudari, R. (6507764404); Kappes, M.S. (36519011200); Simpson, A.L. (56735382900); Hadzilacos, G. (57191617676); Fewtrell, T.J. (25930864000)","27468024100; 34976155900; 16039644600; 56242669500; 56410082400; 37361381700; 35231763100; 36463595600; 12242898700; 25926243900; 55939005100; 15128343400; 57197924232; 26039063600; 6507764404; 36519011200; 56735382900; 57191617676; 25930864000","Corrigendum: The credibility challenge for global fluvial flood risk analysis (Environmental Research Letters (2016) 11 (094014) DOI: 10.1088/1748-9326/11/9/094014/meta)","2018","Environmental Research Letters","13","9","099503","","","","1","10.1088/1748-9326/aadcd0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055846321&doi=10.1088%2f1748-9326%2faadcd0&partnerID=40&md5=2cb6fddb9aaa316e6587e0d2ab614d38","Erratum","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85055846321"
"Birch C.E.; Rabb B.L.; Böing S.J.; Shelton K.L.; Lamb R.; Hunter N.; Trigg M.A.; Hines A.; Taylor A.L.; Pilling C.; Dale M.","Birch, Cathryn E. (34976155900); Rabb, Benjamin L. (57212109474); Böing, Steven J. (55436842300); Shelton, Kay L. (7005949189); Lamb, Rob (25934728300); Hunter, Neil (27267664200); Trigg, Mark A. (27468024100); Hines, Adrian (7005149613); Taylor, Andrea L. (56197299000); Pilling, Charlie (6505976361); Dale, Murray (7102335881)","34976155900; 57212109474; 55436842300; 7005949189; 25934728300; 27267664200; 27468024100; 7005149613; 56197299000; 6505976361; 7102335881","Enhanced surface water flood forecasts: User-led development and testing","2021","Journal of Flood Risk Management","14","2","e12691","","","","10","10.1111/jfr3.12691","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099757069&doi=10.1111%2fjfr3.12691&partnerID=40&md5=3113a50045858e3986aad43ddc00459e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85099757069"
"Alfieri L.; Cohen S.; Galantowicz J.; Schumann G.J.-P.; Trigg M.A.; Zsoter E.; Prudhomme C.; Kruczkiewicz A.; Coughlan de Perez E.; Flamig Z.; Rudari R.; Wu H.; Adler R.F.; Brakenridge R.G.; Kettner A.; Weerts A.; Matgen P.; Islam S.A.K.M.; de Groeve T.; Salamon P.","Alfieri, Lorenzo (57220409827); Cohen, Sagy (24314719100); Galantowicz, John (56422076900); Schumann, Guy J-P. (16424570900); Trigg, Mark A. (27468024100); Zsoter, Ervin (25032085300); Prudhomme, Christel (6603746516); Kruczkiewicz, Andrew (57192210916); Coughlan de Perez, Erin (56612063700); Flamig, Zachary (36069144100); Rudari, Roberto (6507764404); Wu, Huan (55789331100); Adler, Robert F. (7202640224); Brakenridge, Robert G. (6603435333); Kettner, Albert (9039420300); Weerts, Albrecht (6602950477); Matgen, Patrick (8051813300); Islam, Saiful A.K.M (57221919911); de Groeve, Tom (6506812055); Salamon, Peter (57197924232)","57220409827; 24314719100; 56422076900; 16424570900; 27468024100; 25032085300; 6603746516; 57192210916; 56612063700; 36069144100; 6507764404; 55789331100; 7202640224; 6603435333; 9039420300; 6602950477; 8051813300; 57221919911; 6506812055; 57197924232","A global network for operational flood risk reduction","2018","Environmental Science and Policy","84","","","149","158","9","94","10.1016/j.envsci.2018.03.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044122453&doi=10.1016%2fj.envsci.2018.03.014&partnerID=40&md5=7a4428a36131d606d5e90c35c7aba0a1","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85044122453"
"Kechnit D.; Tshimanga R.M.; Ammari A.; Trigg M.A.; Carr A.B.; Bahmanpouri F.; Barbetta S.; Moramarco T.","Kechnit, Djamel (59240632600); Tshimanga, Raphael M. (37029312800); Ammari, Abdelhadi (26639125400); Trigg, Mark A. (27468024100); Carr, Andrew B. (57210206389); Bahmanpouri, Farhad (57202280145); Barbetta, Silvia (12242652500); Moramarco, Tommaso (6602775672)","59240632600; 37029312800; 26639125400; 27468024100; 57210206389; 57202280145; 12242652500; 6602775672","Bathymetry and discharge estimation in large and data-scarce rivers using an entropy-based approach","2024","Hydrological Sciences Journal","69","15","","2109","2123","14","1","10.1080/02626667.2024.2402933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205073292&doi=10.1080%2f02626667.2024.2402933&partnerID=40&md5=f708958ff7b6c82f197741777e70e66f","Article","Final","","Scopus","2-s2.0-85205073292"
"Wu H.; Trigg M.A.; Murphy W.; Fuentes R.","Wu, Hang (57200599176); Trigg, Mark A. (27468024100); Murphy, William (55729913700); Fuentes, Raul (35188883400)","57200599176; 27468024100; 55729913700; 35188883400","Analysis of the fundamental differences between dam-forming landslides and all landslides","2025","Geomorphology","475","","109665","","","","0","10.1016/j.geomorph.2025.109665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217949628&doi=10.1016%2fj.geomorph.2025.109665&partnerID=40&md5=b85851bfb22d74c120d9b805f4461d00","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217949628"
"Trigg M.A.; Michaelides K.; Neal J.C.; Bates P.D.","Trigg, Mark A. (27468024100); Michaelides, Katerina (6602332840); Neal, Jeffrey C. (16039644600); Bates, Paul D. (56242669500)","27468024100; 6602332840; 16039644600; 56242669500","Surface water connectivity dynamics of a large scale extreme flood","2013","Journal of Hydrology","505","","","138","149","11","79","10.1016/j.jhydrol.2013.09.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886045664&doi=10.1016%2fj.jhydrol.2013.09.035&partnerID=40&md5=cad423a9399f26c74f4f2d1046936044","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84886045664"
