"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Maia A.G.; Camargo-Valero M.A.; Trigg M.A.; Khan A.","Maia, Adelena Gonçalves (57192681322); Camargo-Valero, Miller Alonso (16642000800); Trigg, Mark A. (27468024100); Khan, Amirul (55800396100)","57192681322; 16642000800; 27468024100; 55800396100","Uncertainty and Sensitivity Analysis in Reservoir Modeling: a Monte Carlo Simulation Approach","2024","Water Resources Management","38","8","","2835","2850","15","3","10.1007/s11269-024-03794-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186178469&doi=10.1007%2fs11269-024-03794-z&partnerID=40&md5=070670837be32799ee8756ccf7cd09f7","Article","Final","","Scopus","2-s2.0-85186178469"
"Tarayre C.; De Clercq L.; Charlier R.; Michels E.; Meers E.; Camargo-Valero M.; Delvigne F.","Tarayre, Cédric (55183908900); De Clercq, Lies (57112104600); Charlier, Raphaëlle (57111732300); Michels, Evi (22935135600); Meers, Erik (8983405600); Camargo-Valero, Miller (16642000800); Delvigne, Frank (9744114100)","55183908900; 57112104600; 57111732300; 22935135600; 8983405600; 16642000800; 9744114100","New perspectives for the design of sustainable bioprocesses for phosphorus recovery from waste","2016","Bioresource Technology","206","","","264","274","10","126","10.1016/j.biortech.2016.01.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959126890&doi=10.1016%2fj.biortech.2016.01.091&partnerID=40&md5=3a05f05b86194ea82e160a8d2d7424d6","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84959126890"
"Gilkeson C.A.; Camargo-Valero M.A.; Pickin L.E.; Noakes C.J.","Gilkeson, C.A. (30967495600); Camargo-Valero, M.A. (16642000800); Pickin, L.E. (55672465400); Noakes, C.J. (6603481396)","30967495600; 16642000800; 55672465400; 6603481396","Measurement of ventilation and airborne infection risk in large naturally ventilated hospital wards","2013","Building and Environment","65","","","35","48","13","80","10.1016/j.buildenv.2013.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876959654&doi=10.1016%2fj.buildenv.2013.03.006&partnerID=40&md5=50aec320cfb119166c6c84afa303d64e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84876959654"
"Ekpo U.; Ross A.B.; Camargo-Valero M.A.; Fletcher L.A.","Ekpo, U. (55848621700); Ross, A.B. (7402567700); Camargo-Valero, M.A. (16642000800); Fletcher, L.A. (7101843418)","55848621700; 7402567700; 16642000800; 7101843418","Influence of pH on hydrothermal treatment of swine manure: Impact on extraction of nitrogen and phosphorus in process water","2016","Bioresource Technology","214","","","637","644","7","182","10.1016/j.biortech.2016.05.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967157532&doi=10.1016%2fj.biortech.2016.05.012&partnerID=40&md5=611d6579c213e17f4c739f88f9c64de9","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84967157532"
"Camargo Valero M.A.; Read L.F.; Mara D.D.; Newton R.J.; Curtis T.P.; Davenport R.J.","Camargo Valero, M.A. (16642000800); Read, L.F. (35100927500); Mara, D.D. (7006944301); Newton, R.J. (7401830938); Curtis, T.P. (7005910772); Davenport, R.J. (35583511700)","16642000800; 35100927500; 7006944301; 7401830938; 7005910772; 35583511700","Nitrification-denitrification in waste stabilisation ponds: A mechanism for permanent nitrogen removal in maturation ponds","2010","Water Science and Technology","61","5","","1137","1146","9","32","10.2166/wst.2010.963","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950473623&doi=10.2166%2fwst.2010.963&partnerID=40&md5=a32a8e6b7032dcdf998526b04d603b98","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77950473623"
"Parmar K.R.; Brown A.E.; Hammerton J.M.; Camargo-Valero M.A.; Fletcher L.A.; Ross A.B.","Parmar, Kiran R. (57188862609); Brown, Aaron E. (57207946050); Hammerton, James M. (57202574683); Camargo-Valero, Miller Alonso (16642000800); Fletcher, Louise A. (7101843418); Ross, Andrew B. (7402567700)","57188862609; 57207946050; 57202574683; 16642000800; 7101843418; 7402567700","Co-Processing Lignocellulosic Biomass and Sewage Digestate by Hydrothermal Carbonisation: Influence of Blending on Product Quality","2022","Energies","15","4","1418","","","","21","10.3390/en15041418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124871332&doi=10.3390%2fen15041418&partnerID=40&md5=a3ba5e2ff2d4fdd6b84cb40ba9a44ef8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124871332"
"Valero M.A.C.; Johnson M.; Mather T.; Mara D.D.","Valero, M.A. Camargo (16642000800); Johnson, M. (57218980635); Mather, T. (36154717300); Mara, D.D. (7006944301)","16642000800; 57218980635; 36154717300; 7006944301","Enhanced phosphorus removal in a waste stabilization pond system with blast furnace slag filters","2009","Desalination and Water Treatment","4","1-3","","122","127","5","23","10.5004/dwt.2009.366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954209176&doi=10.5004%2fdwt.2009.366&partnerID=40&md5=e3ccfc6ad2bdc52059e04a8b059ebb31","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-77954209176"
"Balasubramanya S.; Evans B.; Hardy R.; Ahmed R.; Habib A.; Asad N.S.M.; Rahman M.; Hasan M.; Dey D.; Fletcher L.; Camargo-Valero M.A.; Rao K.C.; Fernando S.","Balasubramanya, Soumya (55215445900); Evans, Barbara (57199313235); Hardy, Richard (57193704517); Ahmed, Rizwan (38662322400); Habib, Ahasan (57213632441); Asad, N.S.M. (57191284342); Rahman, Mominur (59041365700); Hasan, M. (57213529660); Dey, Digbijoy (57104631800); Fletcher, Louise (7101843418); Camargo-Valero, Miller Alonso (16642000800); Rao, Krishna Chaitanya (56890164500); Fernando, Sudarshana (57193697996)","55215445900; 57199313235; 57193704517; 38662322400; 57213632441; 57191284342; 59041365700; 57213529660; 57104631800; 7101843418; 16642000800; 56890164500; 57193697996","Towards sustainable sanitation management: Establishing the costs and willingness to pay for emptying and transporting sludge in rural districts with high rates of access to latrines","2017","PLoS ONE","12","3","e0171735","","","","23","10.1371/journal.pone.0171735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016057050&doi=10.1371%2fjournal.pone.0171735&partnerID=40&md5=0151e54f3e861e9a9df76be6039558e2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85016057050"
"Yulistyorini A.; Camargo-Valero M.A.; Soegianto A.","Yulistyorini, Anie (57196039893); Camargo-Valero, M.A. (16642000800); Soegianto, Agoes (6506295541)","57196039893; 16642000800; 6506295541","Microalgae growth and nutrient recovery of chlamydomonas reinhardtii 11/32c cultivated under laboratory-controlled condition","2020","Pollution Research","39","4","","1108","1111","3","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101195812&partnerID=40&md5=f5c993143ddd8af616b7f8199421467d","Article","Final","","Scopus","2-s2.0-85101195812"
"Rao N.; Camargo-Valero M.A.; Henderson R.K.","Rao, Naras (59417945000); Camargo-Valero, Miller Alonso (16642000800); Henderson, Rita K. (16636626800)","59417945000; 16642000800; 16636626800","Editorial: The Future of Wastewater Pond and Algal Technologies for a Sustainable Planet (WPAT22)","2024","Water Science and Technology","90","9","","iii","","","0","10.2166/wst.2024.341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209720135&doi=10.2166%2fwst.2024.341&partnerID=40&md5=a79170e11939b35cc9670771ed1f5d10","Editorial","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85209720135"
