"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Baqer Y.; Chen X.H.; Rochelle C.; Thornton S.","Baqer, Yousef (57188701864); Chen, XiaoHui (55571370200); Rochelle, Christopher (6603588740); Thornton, Steven (7101689883)","57188701864; 55571370200; 6603588740; 7101689883","Modelling of multi-minerals kinetic evolution in hyper-alkaline leachate for a 15-year experiment","2020","Environmental Science and Pollution Research","27","28","","35604","35617","13","0","10.1007/s11356-020-09875-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087430614&doi=10.1007%2fs11356-020-09875-x&partnerID=40&md5=34f2c0cac1e4a72ce5a33cd0fdee292b","Article","Final","","Scopus","2-s2.0-85087430614"
"Kiss T.B.W.; Chen X.; Ponting J.; Sizmur T.; Hodson M.E.","Kiss, Tamsyn B.W. (57218828916); Chen, Xiaohui (55571370200); Ponting, Jessica (57193621570); Sizmur, Tom (25824501100); Hodson, Mark E. (23004618100)","57218828916; 55571370200; 57193621570; 25824501100; 23004618100","Dual stresses of flooding and agricultural land use reduce earthworm populations more than the individual stressors","2021","Science of the Total Environment","754","","142102","","","","13","10.1016/j.scitotenv.2020.142102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090347962&doi=10.1016%2fj.scitotenv.2020.142102&partnerID=40&md5=3bc5ca5a47f6156d1c22530fa5f490bc","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85090347962"
"Yang H.; Yu H.-S.; Chen X.; Zhuang P.-Z.","Yang, He (57220924377); Yu, Hai-Sui (57352501600); Chen, Xiaohui (55571370200); Zhuang, Pei-Zhi (57202782825)","57220924377; 57352501600; 55571370200; 57202782825","Rigorous solution for drained analysis of spherical cavity expansion in soils of finite radial extent","2023","Computers and Geotechnics","160","","105516","","","","9","10.1016/j.compgeo.2023.105516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159189515&doi=10.1016%2fj.compgeo.2023.105516&partnerID=40&md5=9fb2b677d0212e15dd835123dcd085b3","Article","Final","","Scopus","2-s2.0-85159189515"
"Liu C.; Ma Y.; Banwart S.A.; Chen X.; Du W.; Yin Y.; Guo H.","Liu, Cuicui (57205586153); Ma, Yue (57212460608); Banwart, Steven A. (7004573474); Chen, Xiaohui (55571370200); Du, Wenchao (54888423400); Yin, Ying (36057665300); Guo, Hongyan (7404404180)","57205586153; 57212460608; 7004573474; 55571370200; 54888423400; 36057665300; 7404404180","Kinetic Modeling for a Novel Permeable Reactive Biobarrier for in Situ Remediation of PAH-Contaminated Groundwater","2022","Journal of Geotechnical and Geoenvironmental Engineering","148","5","04022024","","","","1","10.1061/(ASCE)GT.1943-5606.0002779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125964260&doi=10.1061%2f%28ASCE%29GT.1943-5606.0002779&partnerID=40&md5=0b0bc03a298dfe5889324ee5d11ad226","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85125964260"
"Yin Y.; Song M.; Feng Y.; Liu Z.; Chen X.; Sun Q.","Yin, Yao (57198831304); Song, Minxing (59707765500); Feng, Yu (56395745600); Liu, Zhongqiang (56082732400); Chen, Xiaohui (55571370200); Sun, Qing (16319595300)","57198831304; 59707765500; 56395745600; 56082732400; 55571370200; 16319595300","Theoretical and numerical investigation of the effects of in-situ stresses and dual-borehole combinations in eccentric decoupled charge blasting","2025","Rock Mechanics Bulletin","4","2","100191","","","","0","10.1016/j.rockmb.2025.100191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000876703&doi=10.1016%2fj.rockmb.2025.100191&partnerID=40&md5=ea863b50b67fef245875bab4ddad96cb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105000876703"
"Corkhill C.L.; Bridge J.W.; Chen X.C.; Hillel P.; Thornton S.F.; Romero-Gonzalez M.E.; Banwart S.A.; Hyatt N.C.","Corkhill, Claire L. (23102601100); Bridge, Jonathan W. (14826563000); Chen, Xiaohui C. (55571370200); Hillel, Phil (6603347800); Thornton, Steve F. (7101689883); Romero-Gonzalez, Maria E. (6508174201); Banwart, Steven A. (7004573474); Hyatt, Neil C. (7003382493)","23102601100; 14826563000; 55571370200; 6603347800; 7101689883; 6508174201; 7004573474; 7003382493","Real-time gamma imaging of technetium transport through natural and engineered porous materials for radioactive waste disposal","2013","Environmental Science and Technology","47","23","","13857","13864","7","21","10.1021/es402718j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889794362&doi=10.1021%2fes402718j&partnerID=40&md5=edfef7260d53522eac9b462d546c3d2f","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84889794362"
"Taccari M.L.; Nuttall J.; Chen X.; Wang H.; Minnema B.; Jimack P.K.","Taccari, Maria Luisa (57193403701); Nuttall, Jonathan (59435157300); Chen, Xiaohui (55571370200); Wang, He (54413077700); Minnema, Bennie (6507654019); Jimack, Peter K. (6603931579)","57193403701; 59435157300; 55571370200; 54413077700; 6507654019; 6603931579","Attention U-Net as a surrogate model for groundwater prediction","2022","Advances in Water Resources","163","","104169","","","","16","10.1016/j.advwatres.2022.104169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127765594&doi=10.1016%2fj.advwatres.2022.104169&partnerID=40&md5=e1c043cd7d67e6ed0dbf64c696cb77bf","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85127765594"
"Baqer Y.; Thornton S.; Stewart D.I.; Norris S.; Chen X.H.","Baqer, Yousef (57188701864); Thornton, Steven (7101689883); Stewart, Douglas I. (35305889000); Norris, Simon (13604927500); Chen, XiaoHui (55571370200)","57188701864; 7101689883; 35305889000; 13604927500; 55571370200","Analysis of Uranium Sorption in a Laboratory Column Experiment Using a Reactive Transport and Surface Complexation Model","2023","Transport in Porous Media","149","2","","423","452","29","5","10.1007/s11242-023-01956-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160832838&doi=10.1007%2fs11242-023-01956-y&partnerID=40&md5=98ef02f6956feafa1cdf856b917987f6","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160832838"
"Yang H.; Zhuang P.-Z.; Zhang J.-L.; Ma Y.; Yu H.-S.; Chen X.","Yang, He (57220924377); Zhuang, Pei-Zhi (57202782825); Zhang, Jia-Liang (59069326500); Ma, Yue (57212460608); Yu, Hai-Sui (57352501600); Chen, Xiaohui (55571370200)","57220924377; 57202782825; 59069326500; 57212460608; 57352501600; 55571370200","A hybrid Eulerian–Lagrangian approach for non-self-similar expansion analysis of a cylindrical cavity in saturated and unsaturated critical state soils","2024","Acta Geotechnica","19","5","","2361","2380","19","5","10.1007/s11440-023-02189-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183344869&doi=10.1007%2fs11440-023-02189-5&partnerID=40&md5=3ceb817112fe0c9735d4e6e3dba4b48d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85183344869"
"Kiss T.B.W.; Chen X.; Hodson M.E.","Kiss, Tamsyn B.W. (57218828916); Chen, Xiaohui (55571370200); Hodson, Mark E. (23004618100)","57218828916; 55571370200; 23004618100","Interspecies variation in survival of soil fauna in flooded soil","2021","Applied Soil Ecology","158","","103787","","","","8","10.1016/j.apsoil.2020.103787","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092533400&doi=10.1016%2fj.apsoil.2020.103787&partnerID=40&md5=39ee82931eec4d6a963d9ed084836e7f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85092533400"
