"Title","Funder","Start year"
"Healthy Urban Places: a systems approach to understanding how to harness local places as tools to improve population health and reduce inequalities","UK Research and Innovation (UKRI)","2024"
"Optimising the performance of air cleaning technology for mitigation of infection in hospital environments","UK Research and Innovation (UKRI)","2023"
"Hub for the National Fellowships in Fluid Dynamics (NFFDy Hub)","UK Research and Innovation (UKRI)","2022"
"CECAM - Chamber for Environmental Control of Airborne Microorganisms","UK Research and Innovation (UKRI)","2021"
"20-EEID US-UK Modelling reassortment at the cellular, clinical, and phylogenetic level in emerging Bunyaviruses","UK Research and Innovation (UKRI)","2021"
"TRACK: Transport Risk Assessment for COVID Knowledge","UK Research and Innovation (UKRI)","2020"
"Breathing City: Future Urban Ventilation Network","UK Research and Innovation (UKRI)","2020"
"Transient models to assess transmission and control of airborne infection risks in a respiratory ward","UK Research and Innovation (UKRI)","2020"
"CONtact TrAcing in Care homes using digital Technology (CONTACT) - A pragmatic cluster randomised controlled trial, cost-effectiveness evaluation and theory-informed process evaluation.","National Institute for Health and Care Research (NIHR)","2020"
"COVID-19 transmission risks associated with environmental contamination in workplace and public toilets","UK Research and Innovation (UKRI)","2020"
"EPSRC Centre for Doctoral Training in Fluid Dynamics at Leeds","UK Research and Innovation (UKRI)","2019"
"Influence of ventilation design on the prevalence of anti-microbial bacteria in homes","UK Research and Innovation (UKRI)","2017"
"Targeting airborne bacterial infection: Studies on patient- and laboratory-generated mycobacterium tuberculosis aerosols.","UK Research and Innovation (UKRI)","2017"
"Modelling Bioaerosol Dispersion due to Shower Heads","UK Research and Innovation (UKRI)","2017"
"Healthcare Environment Control, Optimisation and Infection Risk Assessment (HECOIRA)","UK Research and Innovation (UKRI)","2017"
"Excising Infection in the Surgical Environment [ExISE]","UK Research and Innovation (UKRI)","2017"
"Refresh: Remodelling Building Design Sustainability from a Human Centred Approach","UK Research and Innovation (UKRI)","2013"
"Design and Delivery of Robust Hospital Environments in a Changing Climate (DeDeRHECC)","UK Research and Innovation (UKRI)","2009"
"Development of Computational Models to Design Upper-Room Ultraviolet Germicidal Irradiation Air Disinfection Systems in Hospital Environments","UK Research and Innovation (UKRI)","2009"
"Integrated Design of Hospital Wards for a Safe and Sustainable Patient Environment","UK Research and Innovation (UKRI)","2009"
