"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Beato-Arribas B.; McDonagh A.; Noakes C.J.; Sleigh P.A.","Beato-Arribas, B. (55565193200); McDonagh, A. (55241532300); Noakes, C.J. (6603481396); Sleigh, P.A. (57266098300)","55565193200; 55241532300; 6603481396; 57266098300","Assessing the near-patient infection risk in isolation Rooms","2015","Healthy Buildings Europe 2015, HB 2015 - Conference Proceedings","2015-May","","","","","","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048663880&partnerID=40&md5=80659609c6b5c1ad3e63ce8ea00b501c","Conference paper","Final","","Scopus","2-s2.0-85048663880"
"Noakes C.J.; Khan M.A.I.; Gilkeson C.A.","Noakes, Catherine J. (6603481396); Khan, M. Amirul I. (55800396100); Gilkeson, Carl A. (30967495600)","6603481396; 55800396100; 30967495600","Modeling infection risk and energy use of upper-room Ultraviolet Germicidal Irradiation systems in multi-room environments","2015","Science and Technology for the Built Environment","21","1","","99","111","12","20","10.1080/10789669.2014.983035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940416884&doi=10.1080%2f10789669.2014.983035&partnerID=40&md5=7eca832bf07dd976b3a20b63bf459414","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84940416884"
"Gilkeson C.A.; Camargo-Valero M.A.; Pickin L.E.; Noakes C.J.","Gilkeson, C.A. (30967495600); Camargo-Valero, M.A. (16642000800); Pickin, L.E. (55672465400); Noakes, C.J. (6603481396)","30967495600; 16642000800; 55672465400; 6603481396","Measurement of ventilation and airborne infection risk in large naturally ventilated hospital wards","2013","Building and Environment","65","","","35","48","13","80","10.1016/j.buildenv.2013.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876959654&doi=10.1016%2fj.buildenv.2013.03.006&partnerID=40&md5=50aec320cfb119166c6c84afa303d64e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84876959654"
"Morawska L.; Allen J.; Bahnfleth W.; Bennett B.; Bluyssen P.M.; Boerstra A.; Buonanno G.; Cao J.; Dancer S.J.; Floto A.; Franchimon F.; Greenhalgh T.; Haworth C.; Hogeling J.; Isaxon C.; Jimenez J.L.; Kennedy A.; Kumar P.; Kurnitski J.; Li Y.; Loomans M.; Marks G.; Marr L.C.; Mazzarella L.; Melikov A.K.; Miller S.L.; Milton D.K.; Monty J.; Nielsen P.V.; Noakes C.; Peccia J.; Prather K.A.; Querol X.; Salthammer T.; Sekhar C.; Seppänen O.; Tanabe S.-I.; Tang J.W.; Tellier R.; Tham K.W.; Wargocki P.; Wierzbicka A.; Yao M.","Morawska, Lidia (7004773965); Allen, Joseph (16834469500); Bahnfleth, William (7004444149); Bennett, Belinda (58966752000); Bluyssen, Philomena M. (6507274241); Boerstra, Atze (35766486200); Buonanno, Giorgio (7006985475); Cao, Junji (59255711400); Dancer, Stephanie J. (7003919753); Floto, Andres (6603520150); Franchimon, Francesco (24080354100); Greenhalgh, Trish (24344105700); Haworth, Charles (7005598480); Hogeling, Jaap (55009480900); Isaxon, Christina (25936337400); Jimenez, Jose L. (57203776263); Kennedy, Amanda (58966729500); Kumar, Prashant (7403961319); Kurnitski, Jarek (55940296200); Li, Yuguo (58513252200); Loomans, Marcel (6603078719); Marks, Guy (7202971580); Marr, Linsey C. (13308311400); Mazzarella, Livio (7007064923); Melikov, Arsen Krikor (7003537126); Miller, Shelly L. (7406286894); Milton, Donald K. (35434286800); Monty, Jason (58006127900); Nielsen, Peter V. (24773772900); Noakes, Catherine (6603481396); Peccia, Jordan (6603601344); Prather, Kimberly A. (7005773698); Querol, Xavier (7004532767); Salthammer, Tunga (7004468798); Sekhar, Chandra (57862297800); Seppänen, Olli (7004826231); Tanabe, Shin-Ichi (55710820000); Tang, Julian W. (58966752200); Tellier, Raymond (7004847486); Tham, Kwok Wai (57210221751); Wargocki, Pawel (6602149538); Wierzbicka, Aneta (7004090929); Yao, Maosheng (8622183900)","7004773965; 16834469500; 7004444149; 58966752000; 6507274241; 35766486200; 7006985475; 59255711400; 7003919753; 6603520150; 24080354100; 24344105700; 7005598480; 55009480900; 25936337400; 57203776263; 58966729500; 7403961319; 55940296200; 58513252200; 6603078719; 7202971580; 13308311400; 7007064923; 7003537126; 7406286894; 35434286800; 58006127900; 24773772900; 6603481396; 6603601344; 7005773698; 7004532767; 7004468798; 57862297800; 7004826231; 55710820000; 58966752200; 7004847486; 57210221751; 6602149538; 7004090929; 8622183900","Mandating indoor air quality for public buildings If some countries lead by example, standards may increasingly become normalized","2024","Science","383","6690","","1418","1420","2","49","10.1126/science.adl0677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188195187&doi=10.1126%2fscience.adl0677&partnerID=40&md5=eeed55dcfba7d442f6549991cfc475e9","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85188195187"
"Snow S.; Boyson A.S.; Paas K.H.W.; Gough H.; King M.-F.; Barlow J.; Noakes C.J.; schraefel M.C.","Snow, Stephen (55841572100); Boyson, Amy S. (57208315641); Paas, Karlien H.W. (57195990930); Gough, Hannah (57195310189); King, Marco-Felipe (55383157200); Barlow, Janet (7402197813); Noakes, Catherine J. (6603481396); schraefel, M.C. (57193559107)","55841572100; 57208315641; 57195990930; 57195310189; 55383157200; 7402197813; 6603481396; 57193559107","Exploring the physiological, neurophysiological and cognitive performance effects of elevated carbon dioxide concentrations indoors","2019","Building and Environment","156","","","243","252","9","85","10.1016/j.buildenv.2019.04.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064459326&doi=10.1016%2fj.buildenv.2019.04.010&partnerID=40&md5=0e5bebe6f745c4f1da15df206de0dbb0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85064459326"
"Edwards A.J.; King M.-F.; López-García M.; Peckham D.; Noakes C.J.","Edwards, A.J. (58209947400); King, M-F. (55383157200); López-García, M. (36647824200); Peckham, D. (7005935206); Noakes, C.J. (6603481396)","58209947400; 55383157200; 36647824200; 7005935206; 6603481396","Assessing the effects of transient weather conditions on airborne transmission risk in naturally ventilated hospitals","2024","Journal of Hospital Infection","148","","","1","10","9","1","10.1016/j.jhin.2024.02.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190406562&doi=10.1016%2fj.jhin.2024.02.017&partnerID=40&md5=a0d5c5cde8e2b466e95aa323bc934453","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85190406562"
"King M.F.; Wilson A.M.; López-García M.; Proctor J.; Peckham D.G.; Clifton I.J.; Dancer S.J.; Noakes C.J.","King, M.F. (55383157200); Wilson, A.M. (57195611222); López-García, M. (36647824200); Proctor, J. (57218161473); Peckham, D.G. (7005935206); Clifton, I.J. (35271234500); Dancer, S.J. (7003919753); Noakes, C.J. (6603481396)","55383157200; 57195611222; 36647824200; 57218161473; 7005935206; 35271234500; 7003919753; 6603481396","Why is mock care not a good proxy for predicting hand contamination during patient care?","2021","Journal of Hospital Infection","109","","","44","51","7","8","10.1016/j.jhin.2020.11.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099380175&doi=10.1016%2fj.jhin.2020.11.016&partnerID=40&md5=677cfe5e2c3c56814c1b8072d2abf0eb","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85099380175"
"Edwards A.J.; Benson L.; Guo Z.; López-García M.; Noakes C.J.; Peckham D.; King M.-F.","Edwards, Alexander J. (58209947400); Benson, Lee (57359657300); Guo, Zeyu (58209073800); López-García, Martín (36647824200); Noakes, Catherine J. (6603481396); Peckham, Daniel (7005935206); King, Marco-Felipe (55383157200)","58209947400; 57359657300; 58209073800; 36647824200; 6603481396; 7005935206; 55383157200","A mathematical model for assessing transient airborne infection risks in a multi-zone hospital ward","2023","Building and Environment","238","","110344","","","","9","10.1016/j.buildenv.2023.110344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154558543&doi=10.1016%2fj.buildenv.2023.110344&partnerID=40&md5=25ad4a2abb6bb5f093090bf8cff6fd09","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85154558543"
"Higham C.A.; López-García M.; Noakes C.; Fletcher L.","Higham, Ciara A. (58852735300); López-García, Martín (36647824200); Noakes, Catherine (6603481396); Fletcher, Louise (7101843418)","58852735300; 36647824200; 6603481396; 7101843418","Exploring the toilet plume: experimental insights into environmental contamination using a mechanically ventilated chamber","2024","18th Conference of the International Society of Indoor Air Quality and Climate, INDOOR AIR 2024 - Conference Program and Proceedings","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210802055&partnerID=40&md5=6a2332bb83fdc58d235e78716bdadbf4","Conference paper","Final","","Scopus","2-s2.0-85210802055"
"Salman N.; Khan M.W.; Lim M.; Khan A.; Kemp A.H.; Noakes C.J.","Salman, Naveed (58133403800); Khan, Muhammad Waqas (59604855100); Lim, Michael (9249077300); Khan, Amir (55800396100); Kemp, Andrew H. (55567457800); Noakes, Catherine J. (6603481396)","58133403800; 59604855100; 9249077300; 55800396100; 55567457800; 6603481396","Use of multiple low cost carbon dioxide sensors to measure exhaled breath distribution with face mask type and wearing behaviour","2021","Sensors","21","18","6204","","","","7","10.3390/s21186204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114922373&doi=10.3390%2fs21186204&partnerID=40&md5=f52c42dda442cb9984ec1dcea5fb67cd","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85114922373"
