"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tay Y.Y; Stewart D.I; Cousens T.W","Tay, Y.Y (7004818423); Stewart, D.I (35305889000); Cousens, T.W (6603394803)","7004818423; 35305889000; 6603394803","Shrinkage and desiccation cracking in bentonite-sand landfill liners","2001","Engineering Geology","60","1-4","","263","274","11","164","10.1016/S0013-7952(00)00107-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035363204&doi=10.1016%2fS0013-7952%2800%2900107-1&partnerID=40&md5=8f9bdfa2a8c8dab2446a7f4931902847","Article","Final","","Scopus","2-s2.0-0035363204"
"Xia X.; Stewart D.I.; Cheng L.; Liu Y.; Wang Y.; Ding A.","Xia, Xuefeng (57203392769); Stewart, Douglas Ian (35305889000); Cheng, Lirong (35291208100); Liu, Yueqiao (56611743300); Wang, Yingying (55734592900); Ding, Aizhong (8256512800)","57203392769; 35305889000; 35291208100; 56611743300; 55734592900; 8256512800","Variation of bacterial community and alkane monooxygenase gene abundance in diesel n-alkane contaminated subsurface environment under seasonal water table fluctuation","2022","Journal of Contaminant Hydrology","248","","104017","","","","4","10.1016/j.jconhyd.2022.104017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129537932&doi=10.1016%2fj.jconhyd.2022.104017&partnerID=40&md5=cf0d49a69a9d3786243b811f6cc51348","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85129537932"
"Stewart D.I.; Cousens T.W.; Studds P.G.; Tay Y.Y.","Stewart, D.I. (35305889000); Cousens, T.W. (6603394803); Studds, P.G. (6506998748); Tay, Y.Y. (7004818423)","35305889000; 6603394803; 6506998748; 7004818423","Design parameters for bentonïteenhanced sand as a landfill liner","1999","Proceedings of the Institution of Civil Engineers: Geotechnical Engineering","137","4","","189","195","6","28","10.1680/gt.1999.370404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033510382&doi=10.1680%2fgt.1999.370404&partnerID=40&md5=08f0345be7f8cd325b09642802b6327e","Article","Final","","Scopus","2-s2.0-0033510382"
"Stewart D.I.; Jared West L.; Richard Johnston S.; Binley A.M.","Stewart, Douglas I. (35305889000); Jared West, L. (55665300300); Richard Johnston, S. (36490392700); Binley, Andrew M. (7004203549)","35305889000; 55665300300; 36490392700; 7004203549","Electrokinetic transport in natural soil cores","1997","Studies in Environmental Science","71","C","","689","698","9","1","10.1016/S0166-1116(97)80252-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956797367&doi=10.1016%2fS0166-1116%2897%2980252-X&partnerID=40&md5=4d1359ac85d720953601c0dc1a5617df","Book chapter","Final","","Scopus","2-s2.0-77956797367"
"Barton C.S.; Stewart D.I.; Morris K.; Bryant D.E.","Barton, Catherine S. (7202585629); Stewart, Douglas I. (35305889000); Morris, Katherine (7202939108); Bryant, David E. (7202225543)","7202585629; 35305889000; 7202939108; 7202225543","Performance of three resin-based materials for treating uranium-contaminated groundwater within a PRB","2004","Journal of Hazardous Materials","116","3","","191","204","13","73","10.1016/j.jhazmat.2004.08.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10444253902&doi=10.1016%2fj.jhazmat.2004.08.028&partnerID=40&md5=7c3665da0357f14d3a48ee244016f153","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-10444253902"
"Burke I.T.; Mortimer R.J.G.; Palaniyandi S.; Whittleston R.A.; Lockwood C.L.; Ashley D.J.; Stewart D.I.","Burke, Ian T. (8600041800); Mortimer, Robert J. G. (7101740764); Palaniyandi, Shanmugam (55351973900); Whittleston, Robert A. (35367403300); Lockwood, Cindy L. (55352217200); Ashley, David J. (38560910500); Stewart, Douglas I. (35305889000)","8600041800; 7101740764; 55351973900; 35367403300; 55352217200; 38560910500; 35305889000","Biogeochemical Reduction Processes in a Hyper-Alkaline Leachate Affected Soil Profile","2012","Geomicrobiology Journal","29","9","","769","779","10","26","10.1080/01490451.2011.619638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865810447&doi=10.1080%2f01490451.2011.619638&partnerID=40&md5=3559ff3132747e0273937a310794631e","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84865810447"
"Whittleston R.A.; Stewart D.I.; Mortimer R.J.G.; Tilt Z.C.; Brown A.P.; Geraki K.; Burke I.T.","Whittleston, Robert A. (35367403300); Stewart, Douglas I. (35305889000); Mortimer, Robert J.G. (7101740764); Tilt, Zana C. (47962521500); Brown, Andrew P. (7408338729); Geraki, Kalotina (6602475007); Burke, Ian T. (8600041800)","35367403300; 35305889000; 7101740764; 47962521500; 7408338729; 6602475007; 8600041800","Chromate reduction in Fe(II)-containing soil affected by hyperalkaline leachate from chromite ore processing residue","2011","Journal of Hazardous Materials","194","","","15","23","8","54","10.1016/j.jhazmat.2011.07.067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053894274&doi=10.1016%2fj.jhazmat.2011.07.067&partnerID=40&md5=061e293d3bebec2526eb22ced55cbf71","Article","Final","","Scopus","2-s2.0-80053894274"
"Zhai J.; Burke I.T.; Stewart D.I.","Zhai, Jihua (57191161544); Burke, Ian T. (8600041800); Stewart, Douglas I. (35305889000)","57191161544; 8600041800; 35305889000","Beneficial management of biomass combustion ashes","2021","Renewable and Sustainable Energy Reviews","151","","111555","","","","95","10.1016/j.rser.2021.111555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112247832&doi=10.1016%2fj.rser.2021.111555&partnerID=40&md5=05d30344400e25388406696d4c78ff82","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112247832"
"Stewart D.I.","Stewart, Douglas I. (35305889000)","35305889000","Editorial","2013","Proceedings of the Institution of Civil Engineers: Engineering Sustainability","166","4","","163","164","1","0","10.1680/ensu.2013.166.4.163","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885132509&doi=10.1680%2fensu.2013.166.4.163&partnerID=40&md5=a7b89fb26d998f50fa6eb569e07e110f","Editorial","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84885132509"
"Wu J.; West L.J.; Stewart D.I.","Wu, J. (58419956900); West, L.J. (55665300300); Stewart, D.I. (35305889000)","58419956900; 55665300300; 35305889000","Effect of humic substances on Cu(II) solubility in kaolin-sand soil","2002","Journal of Hazardous Materials","94","3","","223","238","15","73","10.1016/S0304-3894(02)00082-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037078787&doi=10.1016%2fS0304-3894%2802%2900082-1&partnerID=40&md5=9d64b78e406e3d719dac3644b253a841","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-0037078787"
