"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fisher M.B.; Danquah L.; Seidu Z.; Fechter A.N.; Saga B.; Bartram J.K.; Liang K.M.; Ramaswamy R.","Fisher, Michael B. (55466325000); Danquah, Leslie (57218440418); Seidu, Zakaria (57218174654); Fechter, Allison N. (57218173223); Saga, Bansaga (57204044445); Bartram, Jamie K. (6603696131); Liang, Kaida M. (54898489900); Ramaswamy, Rohit (7102730025)","55466325000; 57218440418; 57218174654; 57218173223; 57204044445; 6603696131; 54898489900; 7102730025","WaSH CQI: Applying continuous quality improvement methods to water service delivery in four districts of rural northern Ghana","2020","PLoS ONE","15","7","e0233679","","","","3","10.1371/journal.pone.0233679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088156919&doi=10.1371%2fjournal.pone.0233679&partnerID=40&md5=1baa6fff8b61d1417d96ee93f24dded3","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85088156919"
"Setty K.; McConnell R.; Raucher R.; Bartram J.","Setty, Karen (23101398100); McConnell, Robert (57534487700); Raucher, Robert (57204380953); Bartram, Jamie (6603696131)","23101398100; 57534487700; 57204380953; 6603696131","Comparative evaluation of risk management frameworks for U.S. source waters","2019","AWWA Water Science","1","1","e1125","","","","9","10.1002/aws2.1125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068824291&doi=10.1002%2faws2.1125&partnerID=40&md5=60db34ad81b0269cdb0f5d64d51bb775","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85068824291"
"Moffa M.; Cronk R.; Fejfar D.; Dancausse S.; Padilla L.A.; Bartram J.","Moffa, Michelle (57195377833); Cronk, Ryan (35766082400); Fejfar, Donald (57205148256); Dancausse, Sarah (57205146757); Padilla, Leslie Acosta (57205146801); Bartram, Jamie (6603696131)","57195377833; 35766082400; 57205148256; 57205146757; 57205146801; 6603696131","A systematic scoping review of hygiene behaviors and environmental health conditions in institutional care settings for orphaned and abandoned children","2019","Science of the Total Environment","658","","","1161","1174","13","19","10.1016/j.scitotenv.2018.12.286","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058807712&doi=10.1016%2fj.scitotenv.2018.12.286&partnerID=40&md5=128a30f7325c39212111128d6039790f","Article","Final","","Scopus","2-s2.0-85058807712"
"Fejfar D.; Tracy W.; Kelly E.; Moffa M.; Bain R.; Bartram J.; Anderson D.; Cronk R.","Fejfar, Donald (57205148256); Tracy, Wren (58712887300); Kelly, Emma (56999862100); Moffa, Michelle (57195377833); Bain, Robert (55059412700); Bartram, Jamie (6603696131); Anderson, Darcy (57194513307); Cronk, Ryan (35766082400)","57205148256; 58712887300; 56999862100; 57195377833; 55059412700; 6603696131; 57194513307; 35766082400","Identifying predictors of E. coli in rural household water in sub-Saharan Africa using elimination regression","2024","Environmental Science: Water Research and Technology","10","5","","1147","1159","12","2","10.1039/d3ew00915g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187323415&doi=10.1039%2fd3ew00915g&partnerID=40&md5=22cc6a52298c139734fe26bdfd8d02e0","Article","Final","","Scopus","2-s2.0-85187323415"
"Kelly E.; Shields K.F.; Cronk R.; Lee K.; Behnke N.; Klug T.; Bartram J.","Kelly, Emma (56999862100); Shields, Katherine F. (55226537800); Cronk, Ryan (35766082400); Lee, Kristen (57193553844); Behnke, Nikki (57193551829); Klug, Tori (57190842615); Bartram, Jamie (6603696131)","56999862100; 55226537800; 35766082400; 57193553844; 57193551829; 57190842615; 6603696131","Seasonality, water use and community management of water systems in rural settings: Qualitative evidence from Ghana, Kenya, and Zambia","2018","Science of the Total Environment","628-629","","","715","721","6","70","10.1016/j.scitotenv.2018.02.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044640550&doi=10.1016%2fj.scitotenv.2018.02.045&partnerID=40&md5=4569757df1b8c2e8576369e05888d146","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85044640550"
"Crocker J.; Saywell D.; Shields K.F.; Kolsky P.; Bartram J.","Crocker, Jonny (55328328900); Saywell, Darren (39862043600); Shields, Katherine F. (55226537800); Kolsky, Pete (6603361938); Bartram, Jamie (6603696131)","55328328900; 39862043600; 55226537800; 6603361938; 6603696131","The true costs of participatory sanitation: Evidence from community-led total sanitation studies in Ghana and Ethiopia","2017","Science of the Total Environment","601-602","","","1075","1083","8","30","10.1016/j.scitotenv.2017.05.279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020234556&doi=10.1016%2fj.scitotenv.2017.05.279&partnerID=40&md5=2e8f2eae29c6015bbe6584f65c020ec4","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85020234556"
"Elliott M.; MacDonald M.C.; Chan T.; Kearton A.; Shields K.F.; Bartram J.K.; Hadwen W.L.","Elliott, Mark (57189616985); MacDonald, Morgan C. (56462088200); Chan, Terence (7402680829); Kearton, Annika (57192078120); Shields, Katherine F. (55226537800); Bartram, Jamie K. (6603696131); Hadwen, Wade L. (6507327364)","57189616985; 56462088200; 7402680829; 57192078120; 55226537800; 6603696131; 6507327364","Multiple Household Water Sources and Their Use in Remote Communities With Evidence From Pacific Island Countries","2017","Water Resources Research","53","11","","9106","9117","11","67","10.1002/2017WR021047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038908137&doi=10.1002%2f2017WR021047&partnerID=40&md5=f09e81f5b781c3fbc20003da7db5c9cb","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85038908137"
"Setty K.; Cronk R.; George S.; Anderson D.; O'flaherty G.; Bartram J.","Setty, Karen (23101398100); Cronk, Ryan (35766082400); George, Shannan (57205681021); Anderson, Darcy (57194513307); O'flaherty, Għanja (57204076499); Bartram, Jamie (6603696131)","23101398100; 35766082400; 57205681021; 57194513307; 57204076499; 6603696131","Adapting translational research methods to water, sanitation, and hygiene","2019","International Journal of Environmental Research and Public Health","16","20","4049","","","","9","10.3390/ijerph16204049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074173168&doi=10.3390%2fijerph16204049&partnerID=40&md5=4e81665c994a0dcba51d36a0f54078cb","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85074173168"
"Setty K.; Bartram J.; De Roos A.J.; Beaudeau P.","Setty, Karen (23101398100); Bartram, Jamie (6603696131); De Roos, Anneclaire J. (7102835330); Beaudeau, Pascal (6602883889)","23101398100; 6603696131; 7102835330; 6602883889","Water safety plans and risk assessment: A novel procedure applied to treated water turbidity and gastrointestinal diseases","2020","International Journal of Hygiene and Environmental Health","229","","113435","","","","2","10.1016/j.ijheh.2019.113435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082473179&doi=10.1016%2fj.ijheh.2019.113435&partnerID=40&md5=f6980bf1611fdc2fc6f3197933e196ff","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85082473179"
"Jaber T.; Fame T.; Agho O.A.; Van de Walle B.; Bartram J.; Boelee E.","Jaber, Tarek (58523678500); Fame, Thiaba (58523561700); Agho, Osas Aizeyosabor (58522973600); Van de Walle, Bartel (8904784200); Bartram, Jamie (6603696131); Boelee, Eline (6505788447)","58523678500; 58523561700; 58522973600; 8904784200; 6603696131; 6505788447","Environmental, social, and WASH factors affecting the recurrence of cholera outbreaks in displacement camps in Northeast Nigeria: a rapid appraisal","2023","Journal of Water Sanitation and Hygiene for Development","13","7","","520","526","6","3","10.2166/washdev.2023.055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166779840&doi=10.2166%2fwashdev.2023.055&partnerID=40&md5=ab4b8837a0364eed51bc81ee9d9a3b62","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166779840"
