"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Booth W.; Beato B.; Noakes C.; Fletcher L.; Sleigh A.; Tomlinson N.","Booth, William (16030172600); Beato, Blanca (55565162200); Noakes, Catherine (6603481396); Fletcher, Louise (7101843418); Sleigh, Andrew (57266098300); Tomlinson, Nigel (16319803800)","16030172600; 55565162200; 6603481396; 7101843418; 57266098300; 16319803800","Characterisation of the protection provided by the ventilation strategy in hospital isolation rooms","2009","9th International Conference and Exhibition - Healthy Buildings 2009, HB 2009","","","","","","","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872665390&partnerID=40&md5=96ff2300bd0619232cb159b03337005d","Conference paper","Final","","Scopus","2-s2.0-84872665390"
"Horan N.J.; Fletcher L.; Betmal S.M.; Wilks S.A.; Keevil C.W.","Horan, N.J. (7003337260); Fletcher, L. (7101843418); Betmal, S.M. (6503933987); Wilks, S.A. (9732750300); Keevil, C.W. (7004194797)","7003337260; 7101843418; 6503933987; 9732750300; 7004194797","Die-off of enteric bacterial pathogens during mesophilic anaerobic digestion","2004","Water Research","38","5","","1113","1120","7","92","10.1016/j.watres.2003.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1242295331&doi=10.1016%2fj.watres.2003.12.004&partnerID=40&md5=ab41444099c401805f9afac5fc0dfc46","Article","Final","","Scopus","2-s2.0-1242295331"
"Vernon J.J.; Lancaster P.E.; Black E.V.I.; Devine D.A.; Fletcher L.; Wood D.J.; Nattress B.R.","Vernon, J.J. (59275059100); Lancaster, P.E. (54408938300); Black, E.V.I. (57223156636); Devine, D.A. (7101713132); Fletcher, L. (7101843418); Wood, D.J. (57208540189); Nattress, B.R. (6603634931)","59275059100; 54408938300; 57223156636; 7101713132; 7101843418; 57208540189; 6603634931","Increased Handpiece Speeds without Air Coolant: Aerosols and Thermal Impact","2023","Journal of Dental Research","102","1","","53","60","7","7","10.1177/00220345221123253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139388359&doi=10.1177%2f00220345221123253&partnerID=40&md5=b23e241f22a0923ca1c935a88b46d103","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85139388359"
"Ekpo U.; Ross A.B.; Camargo-Valero M.A.; Fletcher L.A.","Ekpo, U. (55848621700); Ross, A.B. (7402567700); Camargo-Valero, M.A. (16642000800); Fletcher, L.A. (7101843418)","55848621700; 7402567700; 16642000800; 7101843418","Influence of pH on hydrothermal treatment of swine manure: Impact on extraction of nitrogen and phosphorus in process water","2016","Bioresource Technology","214","","","637","644","7","182","10.1016/j.biortech.2016.05.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967157532&doi=10.1016%2fj.biortech.2016.05.012&partnerID=40&md5=611d6579c213e17f4c739f88f9c64de9","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84967157532"
"Parmar K.R.; Brown A.E.; Hammerton J.M.; Camargo-Valero M.A.; Fletcher L.A.; Ross A.B.","Parmar, Kiran R. (57188862609); Brown, Aaron E. (57207946050); Hammerton, James M. (57202574683); Camargo-Valero, Miller Alonso (16642000800); Fletcher, Louise A. (7101843418); Ross, Andrew B. (7402567700)","57188862609; 57207946050; 57202574683; 16642000800; 7101843418; 7402567700","Co-Processing Lignocellulosic Biomass and Sewage Digestate by Hydrothermal Carbonisation: Influence of Blending on Product Quality","2022","Energies","15","4","1418","","","","21","10.3390/en15041418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124871332&doi=10.3390%2fen15041418&partnerID=40&md5=a3ba5e2ff2d4fdd6b84cb40ba9a44ef8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124871332"
"Balasubramanya S.; Evans B.; Hardy R.; Ahmed R.; Habib A.; Asad N.S.M.; Rahman M.; Hasan M.; Dey D.; Fletcher L.; Camargo-Valero M.A.; Rao K.C.; Fernando S.","Balasubramanya, Soumya (55215445900); Evans, Barbara (57199313235); Hardy, Richard (57193704517); Ahmed, Rizwan (38662322400); Habib, Ahasan (57213632441); Asad, N.S.M. (57191284342); Rahman, Mominur (59041365700); Hasan, M. (57213529660); Dey, Digbijoy (57104631800); Fletcher, Louise (7101843418); Camargo-Valero, Miller Alonso (16642000800); Rao, Krishna Chaitanya (56890164500); Fernando, Sudarshana (57193697996)","55215445900; 57199313235; 57193704517; 38662322400; 57213632441; 57191284342; 59041365700; 57213529660; 57104631800; 7101843418; 16642000800; 56890164500; 57193697996","Towards sustainable sanitation management: Establishing the costs and willingness to pay for emptying and transporting sludge in rural districts with high rates of access to latrines","2017","PLoS ONE","12","3","e0171735","","","","23","10.1371/journal.pone.0171735","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016057050&doi=10.1371%2fjournal.pone.0171735&partnerID=40&md5=0151e54f3e861e9a9df76be6039558e2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85016057050"
"Ibanga I.E.; Fletcher L.A.; Noakes C.J.; King M.F.; Steinberg D.","Ibanga, I.E. (57203816737); Fletcher, L.A. (7101843418); Noakes, C.J. (6603481396); King, M.F. (55383157200); Steinberg, D. (57203820878)","57203816737; 7101843418; 6603481396; 55383157200; 57203820878","Pilot-scale biofiltration at a materials recovery facility: The impact on bioaerosol control","2018","Waste Management","80","","","154","167","13","24","10.1016/j.wasman.2018.09.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053065485&doi=10.1016%2fj.wasman.2018.09.010&partnerID=40&md5=34ee42f50c40360fd8fc0e3dafed6cdd","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85053065485"
"Takaya C.A.; Parmar K.R.; Fletcher L.A.; Ross A.B.","Takaya, Chibi A. (57094946800); Parmar, Kiran R. (57188862609); Fletcher, Louise A. (7101843418); Ross, Andrew B. (7402567700)","57094946800; 57188862609; 7101843418; 7402567700","Biomass-derived carbonaceous adsorbents for trapping ammonia","2019","Agriculture (Switzerland)","9","1","16","","","","35","10.3390/agriculture9010016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060012953&doi=10.3390%2fagriculture9010016&partnerID=40&md5=dbc85b0ee56300bb45a5866ef11d6f05","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85060012953"
"Takaya C.A.; Fletcher L.A.; Singh S.; Okwuosa U.C.; Ross A.B.","Takaya, C.A. (57094946800); Fletcher, L.A. (7101843418); Singh, S. (57723904200); Okwuosa, U.C. (57094962000); Ross, A.B. (7402567700)","57094946800; 7101843418; 57723904200; 57094962000; 7402567700","Recovery of phosphate with chemically modified biochars","2016","Journal of Environmental Chemical Engineering","4","1","","1156","1165","9","100","10.1016/j.jece.2016.01.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956975402&doi=10.1016%2fj.jece.2016.01.011&partnerID=40&md5=be6a47658811cfd31a5662b7e3b0f342","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84956975402"
"Quintana-Najera J.; Blacker A.J.; Fletcher L.A.; Ross A.B.","Quintana-Najera, Jessica (57221165108); Blacker, A. John (6603951393); Fletcher, Louise A. (7101843418); Ross, Andrew B. (7402567700)","57221165108; 6603951393; 7101843418; 7402567700","The effect of augmentation of biochar and hydrochar in anaerobic digestion of a model substrate","2021","Bioresource Technology","321","","124494","","","","22","10.1016/j.biortech.2020.124494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098457544&doi=10.1016%2fj.biortech.2020.124494&partnerID=40&md5=2773a352d2818dadc8cb69e6af140e7a","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85098457544"
