"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tillotson M.R.; Beresford M.; Guan D.; Holden J.","Tillotson, Martin R. (6602871716); Beresford, Megan (57218249491); Guan, Dabo (15839411900); Holden, Joseph (23995734100)","6602871716; 57218249491; 15839411900; 23995734100","The future of water: Water footprints and virtual water","2013","Water Resources: An Integrated Approach","","","","333","349","16","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965143664&partnerID=40&md5=e761dbbbe8e3eafe6a74b254f06e78ad","Book chapter","Final","","Scopus","2-s2.0-84965143664"
"Liu Q.; Cui W.; Tian Z.; Tang Y.; Tillotson M.; Liu J.","Liu, Qianhui (57438881800); Cui, Wenhui (57221917450); Tian, Zhan (14032304800); Tang, Yingdong (57439744300); Tillotson, Martin (6602871716); Liu, Junguo (57200122300)","57438881800; 57221917450; 14032304800; 57439744300; 6602871716; 57200122300","Stormwater Management Modeling in “Sponge City” Construction: Current State and Future Directions","2022","Frontiers in Environmental Science","9","","816093","","","","17","10.3389/fenvs.2021.816093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124031582&doi=10.3389%2ffenvs.2021.816093&partnerID=40&md5=2b666dad46e8905170d2c8d1ef3f32de","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124031582"
"Hou S.; Liu Y.; Zhao X.; Tillotson M.R.; Guo W.; Li Y.","Hou, Siyu (57204200959); Liu, Yu (56383915700); Zhao, Xu (55705204100); Tillotson, Martin R. (6602871716); Guo, Wei (57226073378); Li, Yiping (36063743000)","57204200959; 56383915700; 55705204100; 6602871716; 57226073378; 36063743000","Blue and green water footprint assessment for China-A multi-region input-output approach","2018","Sustainability (Switzerland)","10","8","2822","","","","24","10.3390/su10082822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054929500&doi=10.3390%2fsu10082822&partnerID=40&md5=e26842af20d6b32f1113c1b2940edc4a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85054929500"
"Zhao X.; Li Y.P.; Yang H.; Liu W.F.; Tillotson M.R.; Guan D.; Yi Y.; Wang H.","Zhao, X. (55705204100); Li, Y.P. (36063743000); Yang, H. (57189931241); Liu, W.F. (56178241100); Tillotson, M.R. (6602871716); Guan, D. (15839411900); Yi, Y. (23502643300); Wang, H. (55872230200)","55705204100; 36063743000; 57189931241; 56178241100; 6602871716; 15839411900; 23502643300; 55872230200","Measuring scarce water saving from interregional virtual water flows in China","2018","Environmental Research Letters","13","5","054012","","","","92","10.1088/1748-9326/aaba49","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048093250&doi=10.1088%2f1748-9326%2faaba49&partnerID=40&md5=b4c7efa3f2c20ccf01ef5cd5db33cd3a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85048093250"
"Tillotson M.R.; Liu J.; Guan D.; Wu P.; Zhao X.; Zhang G.; Pfister S.; Pahlow M.","Tillotson, Martin R. (6602871716); Liu, Junguo (57200122300); Guan, Dabo (15839411900); Wu, Pute (12764777600); Zhao, Xu (55705204100); Zhang, Guoping (55832869000); Pfister, Stephan (26639761300); Pahlow, Markus (6603873573)","6602871716; 57200122300; 15839411900; 12764777600; 55705204100; 55832869000; 26639761300; 6603873573","Water Footprint Symposium: Where next for water footprint and water assessment methodology?","2014","International Journal of Life Cycle Assessment","19","8","","1561","1565","4","16","10.1007/s11367-014-0770-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904736080&doi=10.1007%2fs11367-014-0770-x&partnerID=40&md5=d8010ced06117b1278d00e06bffd32ef","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84904736080"
"Frederic M.K.; Guo X.; Zhao X.; Nzudie H.L.F.; Tillotson M.R.; Zhou Y.; Li Y.","Frederic, Mpiya Kapalata (58722023100); Guo, Xinyu (58722284200); Zhao, Xu (55705204100); Nzudie, Harold Lyonel Feukam (58723607600); Tillotson, Martin R. (6602871716); Zhou, Ya (57213435126); Li, Yiping (36063743000)","58722023100; 58722284200; 55705204100; 58723607600; 6602871716; 57213435126; 36063743000","Evaluating the water footprint and nutritional quality of takeaway dishes for selected large cities in China","2024","Science of the Total Environment","911","","168632","","","","4","10.1016/j.scitotenv.2023.168632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177817976&doi=10.1016%2fj.scitotenv.2023.168632&partnerID=40&md5=0ae7c3cfb7054d50e3a0236ca3d0b8d0","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85177817976"
"Shen C.; Hao X.; An D.; Tillotson M.R.; Yang L.; Zhao X.","Shen, Chunlei (57780835400); Hao, Xinya (58305440000); An, Dong (58863597100); Tillotson, Martin R. (6602871716); Yang, Lin (59238635100); Zhao, Xu (55705204100)","57780835400; 58305440000; 58863597100; 6602871716; 59238635100; 55705204100","Unveiling the potential for artificial upwelling in algae derived carbon sink and nutrient mitigation","2023","Science of the Total Environment","905","","167150","","","","3","10.1016/j.scitotenv.2023.167150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171485515&doi=10.1016%2fj.scitotenv.2023.167150&partnerID=40&md5=191308ff8eca735dc71f35b2e8202f0d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85171485515"
"Zhao X.; Jin X.K.; Guo W.; Zhang C.; Shan Y.L.; Du M.X.; Tillotson M.R.; Yang H.; Liao X.W.; Li Y.P.","Zhao, X. (55705204100); Jin, X.K. (57208546172); Guo, W. (57226073378); Zhang, C. (55703882900); Shan, Y.L. (56015318000); Du, M.X. (57194115042); Tillotson, M.R. (6602871716); Yang, H. (57189931241); Liao, X.W. (57191619829); Li, Y.P. (36063743000)","55705204100; 57208546172; 57226073378; 55703882900; 56015318000; 57194115042; 6602871716; 57189931241; 57191619829; 36063743000","China's Urban Methane Emissions From Municipal Wastewater Treatment Plant","2019","Earth's Future","7","4","","480","490","10","58","10.1029/2018EF001113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065064053&doi=10.1029%2f2018EF001113&partnerID=40&md5=f8394b3a9aecb21098682a64d48fa202","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85065064053"
"Tanner A.S.; McIntosh B.S.; Widdowson D.C.C.; Tillotson M.R.","Tanner, A.S. (57197539608); McIntosh, B.S. (7006069983); Widdowson, D.C.C. (55117894400); Tillotson, M.R. (6602871716)","57197539608; 7006069983; 55117894400; 6602871716","The water Utility Adoption Model (wUAM): Understanding influences of organisational and procedural innovation in a UK water utility","2018","Journal of Cleaner Production","171","","","S86","S96","10","5","10.1016/j.jclepro.2016.06.176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002556863&doi=10.1016%2fj.jclepro.2016.06.176&partnerID=40&md5=71fefca46752b726925f1466a3aa87c3","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85002556863"
"Guan D.; Hubacek K.; Tillotson M.; Zhao H.; Liu W.; Liu Z.; Liang S.","Guan, Dabo (15839411900); Hubacek, Klaus (55802235200); Tillotson, Martin (6602871716); Zhao, Hongyan (56447312900); Liu, Weidong (56244286200); Liu, Zhu (57196426525); Liang, Sai (36453970600)","15839411900; 55802235200; 6602871716; 56447312900; 56244286200; 57196426525; 36453970600","Lifting China's water spell","2014","Environmental Science and Technology","48","19","","11048","11056","8","123","10.1021/es501379n","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907929420&doi=10.1021%2fes501379n&partnerID=40&md5=add67537f6af5866ddb57896da114783","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84907929420"
