"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Asachi M.; Behjani M.A.; Nourafkan E.; Hassanpour A.","Asachi, Maryam (56461414600); Behjani, Mohammadreza Alizadeh (57194326213); Nourafkan, Ehsan (22980986000); Hassanpour, Ali (15135865300)","56461414600; 57194326213; 22980986000; 15135865300","Tailoring particle shape for enhancing the homogeneity of powder mixtures: Experimental study and DEM modelling","2021","Particuology","54","","","58","68","10","7","10.1016/j.partic.2020.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086133006&doi=10.1016%2fj.partic.2020.03.006&partnerID=40&md5=50ff785367d5cd53f055745a7f49a6fe","Article","Final","","Scopus","2-s2.0-85086133006"
"Nourafkan E.; Asachi M.; Hu Z.; Gao H.; Wen D.","Nourafkan, Ehsan (22980986000); Asachi, Maryam (56461414600); Hu, Zhongliang (57116805100); Gao, Hui (59102431200); Wen, Dongsheng (8600779400)","22980986000; 56461414600; 57116805100; 59102431200; 8600779400","Synthesis of stable nanoparticles at harsh environment using the synergistic effect of surfactants blend","2018","Journal of Industrial and Engineering Chemistry","64","","","390","401","11","19","10.1016/j.jiec.2018.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045580819&doi=10.1016%2fj.jiec.2018.04.002&partnerID=40&md5=fb2748424fd9a0bc319913ad343fe669","Article","Final","","Scopus","2-s2.0-85045580819"
"Alizadeh M.; Asachi M.; Ghadiri M.; Bayly A.; Hassanpour A.","Alizadeh, Mohammadreza (57210687705); Asachi, Maryam (56461414600); Ghadiri, Mojtaba (7005447323); Bayly, Andrew (24740809200); Hassanpour, Ali (15135865300)","57210687705; 56461414600; 7005447323; 24740809200; 15135865300","A methodology for calibration of DEM input parameters in simulation of segregation of powder mixtures, a special focus on adhesion","2018","Powder Technology","339","","","789","800","11","46","10.1016/j.powtec.2018.08.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052725778&doi=10.1016%2fj.powtec.2018.08.028&partnerID=40&md5=15a69d4c9c283fb0eef7b33ad609d394","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85052725778"
"Asachi M.; Marandi R.","Asachi, M. (56461414600); Marandi, R. (24462011400)","56461414600; 24462011400","Response surface modeling of lead and copper removal from oil field brine by potential sorption method","2015","Particulate Science and Technology","33","3","","290","300","10","1","10.1080/02726351.2014.908255","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931838197&doi=10.1080%2f02726351.2014.908255&partnerID=40&md5=e84b3922dd0be9dcb4fb91a3d3376de0","Retracted","Final","","Scopus","2-s2.0-84931838197"
"Sandooghdar S.; Chen J.; Asachi M.; Hassanpour A.; Hosseinzadeh E.; Babaie M.; Jabbari M.","Sandooghdar, Siavash (58242029800); Chen, Jiashen (59498500200); Asachi, Maryam (56461414600); Hassanpour, Ali (15135865300); Hosseinzadeh, Elham (36059019400); Babaie, Meisam (23987193500); Jabbari, Masoud (27167486100)","58242029800; 59498500200; 56461414600; 15135865300; 36059019400; 23987193500; 27167486100","Pore-scale prediction of transport properties in lithium-ion battery cathodes during calendering using DEM and CFD simulations","2025","Powder Technology","453","","120601","","","","0","10.1016/j.powtec.2024.120601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213942459&doi=10.1016%2fj.powtec.2024.120601&partnerID=40&md5=cdc2387a5550961b12d852cbcbf2fa5d","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85213942459"
"Asachi M.; Hassanpour A.; Ghadiri M.; Bayly A.","Asachi, Maryam (56461414600); Hassanpour, Ali (15135865300); Ghadiri, Mojtaba (7005447323); Bayly, Andrew (24740809200)","56461414600; 15135865300; 7005447323; 24740809200","Analysis of Minor Component Segregation in Ternary Powder Mixtures","2017","EPJ Web of Conferences","140","","13013","","","","1","10.1051/epjconf/201714013013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024122733&doi=10.1051%2fepjconf%2f201714013013&partnerID=40&md5=4e5be1a868d5d0150a716f05dd4528c4","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85024122733"
"Nourafkan E.; Gardy J.; Asachi M.; Ahmed W.; Wen D.","Nourafkan, Ehsan (22980986000); Gardy, Jabbar (57035167100); Asachi, Maryam (56461414600); Ahmed, Waqar (7103287195); Wen, Dongsheng (8600779400)","22980986000; 57035167100; 56461414600; 7103287195; 8600779400","Nanoparticle formation in stable microemulsions for enhanced oil recovery application","2019","Industrial and Engineering Chemistry Research","58","28","","12664","12677","13","17","10.1021/acs.iecr.9b00760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069698831&doi=10.1021%2facs.iecr.9b00760&partnerID=40&md5=125229045d4105aa183b24598aeae8b6","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85069698831"
"Asachi M.; Nourafkan E.; Hassanpour A.","Asachi, Maryam (56461414600); Nourafkan, Ehsan (22980986000); Hassanpour, Ali (15135865300)","56461414600; 22980986000; 15135865300","A review of current techniques for the evaluation of powder mixing","2018","Advanced Powder Technology","29","7","","1525","1549","24","87","10.1016/j.apt.2018.03.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046131916&doi=10.1016%2fj.apt.2018.03.031&partnerID=40&md5=712843069623dd5ba842bceadd75fd0a","Review","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85046131916"
"Asachi M.; Hassanpour A.; Ghadiri M.; Bayly A.","Asachi, Maryam (56461414600); Hassanpour, Ali (15135865300); Ghadiri, Mojtaba (7005447323); Bayly, Andrew (24740809200)","56461414600; 15135865300; 7005447323; 24740809200","Experimental evaluation of the effect of particle properties on the segregation of ternary powder mixtures","2018","Powder Technology","336","","","240","254","14","18","10.1016/j.powtec.2018.05.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048526106&doi=10.1016%2fj.powtec.2018.05.017&partnerID=40&md5=22263591676c7596d425c200358d139f","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85048526106"
"Nourafkan E.; Asachi M.; Marandi R.","Nourafkan, E. (22980986000); Asachi, M. (56461414600); Marandi, R. (24462011400)","22980986000; 56461414600; 24462011400","Kinetics of lead and copper removal from oil-field brine by potential sorption","2014","Water Science and Technology","70","12","","2004","2014","10","0","10.2166/wst.2014.444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919830477&doi=10.2166%2fwst.2014.444&partnerID=40&md5=1bdc1af316f20dcc0f11daf8e1c5b5a2","Article","Final","","Scopus","2-s2.0-84919830477"
