"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Tasca E.; Karney B.; Besharat M.; Ramos H.; Zhou L.","Tasca, Elias (57219556394); Karney, Bryan (7004449407); Besharat, Mohsen (57205420202); Ramos, Helena (35568240000); Zhou, Ling (55710690400)","57219556394; 7004449407; 57205420202; 35568240000; 55710690400","Insights and Challenges Associated with Air in Pressurized Water Conveyance Systems","2022","World Environmental and Water Resources Congress 2022: Adaptive Planning and Design in an Age of Risk and Uncertainty - Selected Papers from the World Environmental and Water Resources Congress 2022","","","","1054","1065","11","1","10.1061/9780784484258.098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133211219&doi=10.1061%2f9780784484258.098&partnerID=40&md5=e9022609a11f1a9a06028c848a8da6bd","Conference paper","Final","","Scopus","2-s2.0-85133211219"
"Coronado-Hernández O.E.; Fuertes-Miquel V.S.; Besharat M.; Ramos H.M.","Coronado-Hernández, O.E. (57193337460); Fuertes-Miquel, V.S. (6507312882); Besharat, M. (57205420202); Ramos, H.M. (35568240000)","57193337460; 6507312882; 57205420202; 35568240000","A parametric sensitivity analysis of numerically modelled piston-type filling and emptying of an inclined pipeline with an air valve","2018","13th International Conference on Pressure Surges","2","","","949","960","11","8","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058991950&partnerID=40&md5=e2494530224f24d7435ff65757dcbbb0","Conference paper","Final","","Scopus","2-s2.0-85058991950"
"Coronado-Hernández O.E.; Besharat M.; Fuertes-Miquel V.S.; Ramos H.M.","Coronado-Hernández, Óscar E. (57193337460); Besharat, Mohsen (57205420202); Fuertes-Miquel, Vicente S. (6507312882); Ramos, Helena M. (35568240000)","57193337460; 57205420202; 6507312882; 35568240000","Effect of a commercial air valve on the rapid filling of a single pipeline: A numerical and experimental analysis","2019","Water (Switzerland)","11","9","1814","","","","25","10.3390/w11091814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072199832&doi=10.3390%2fw11091814&partnerID=40&md5=f3176e13227edb1acaaad22bd5a4cc59","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85072199832"
"Besharat M.; Ramos H.M.","Besharat, M. (57205420202); Ramos, H.M. (35568240000)","57205420202; 35568240000","Theoretical and experimental analysis of pressure surge In a two-phase compressed air vessel","2016","BHR Group - 12th International Conference on Pressure Surges","","","","729","743","14","3","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966351254&partnerID=40&md5=4c831ebf8171ef3543b8add5064aa020","Conference paper","Final","","Scopus","2-s2.0-84966351254"
"Simão M.; Besharat M.; Carravetta A.; Ramos H.M.","Simão, Mariana (55694131400); Besharat, Mohsen (57205420202); Carravetta, Armando (56521531900); Ramos, Helena M. (35568240000)","55694131400; 57205420202; 56521531900; 35568240000","Flow velocity distribution towards flowmeter accuracy: CFD, UDV, and field tests","2018","Water (Switzerland)","10","12","1807","","","","15","10.3390/w10121807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058122782&doi=10.3390%2fw10121807&partnerID=40&md5=2bb6ed986f834221b20ccc45a8a85697","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85058122782"
"Besharat M.; Tarinejad R.; Ramos H.M.","Besharat, Mohsen (57205420202); Tarinejad, Reza (36452349900); Ramos, Helena M. (35568240000)","57205420202; 36452349900; 35568240000","The effect of water hammer on a confined air pocket towards flow energy storage system","2016","Journal of Water Supply: Research and Technology - AQUA","65","2","","116","126","10","33","10.2166/aqua.2015.081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962009865&doi=10.2166%2faqua.2015.081&partnerID=40&md5=4a0c3f3ce5c59abd2d7c1a4b99969849","Article","Final","","Scopus","2-s2.0-84962009865"
"Ramos H.M.; Kuriqi A.; Besharat M.; Creaco E.; Tasca E.; Coronado-Hernández O.E.; Pienika R.; Iglesias-Rey P.","Ramos, Helena M. (35568240000); Kuriqi, Alban (57039070300); Besharat, Mohsen (57205420202); Creaco, Enrico (56037591400); Tasca, Elias (57219556394); Coronado-Hernández, Oscar E. (57193337460); Pienika, Rodolfo (37050382600); Iglesias-Rey, Pedro (15220062200)","35568240000; 57039070300; 57205420202; 56037591400; 57219556394; 57193337460; 37050382600; 15220062200","Smart Water Grids and Digital Twin for the Management of System Efficiency in Water Distribution Networks","2023","Water (Switzerland)","15","6","1129","","","","34","10.3390/w15061129","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151714639&doi=10.3390%2fw15061129&partnerID=40&md5=40c8ac70f7c486dbab6b5b6dddb2c9ed","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151714639"
"Ramos H.M.; Besharat M.","Ramos, Helena M. (35568240000); Besharat, Mohsen (57205420202)","35568240000; 57205420202","Urban flood risk and economic viability analyses of a smart sustainable drainage system","2021","Sustainability (Switzerland)","13","24","13889","","","","7","10.3390/su132413889","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121529958&doi=10.3390%2fsu132413889&partnerID=40&md5=fa604bc10630393ab9b7e625183f1569","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85121529958"
"Aguirre-Mendoza A.M.; Paternina-Verona D.A.; Oyuela S.; Coronado-Hernández O.E.; Besharat M.; Fuertes-Miquel V.S.; Iglesias-Rey P.L.; Ramos H.M.","Aguirre-Mendoza, Andres M. (57195569554); Paternina-Verona, Duban A. (57327599900); Oyuela, Sebastian (57327599800); Coronado-Hernández, Oscar E. (57193337460); Besharat, Mohsen (57205420202); Fuertes-Miquel, Vicente S. (6507312882); Iglesias-Rey, Pedro L. (15220062200); Ramos, Helena M. (35568240000)","57195569554; 57327599900; 57327599800; 57193337460; 57205420202; 6507312882; 15220062200; 35568240000","Effects of Orifice Sizes for Uncontrolled Filling Processes in Water Pipelines","2022","Water (Switzerland)","14","6","888","","","","13","10.3390/w14060888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126973326&doi=10.3390%2fw14060888&partnerID=40&md5=222a46b88e1ec4a95ee804335eb4dfb4","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85126973326"
"Ramos H.M.; Dadfar A.; Besharat M.; Adeyeye K.","Ramos, Helena M. (35568240000); Dadfar, Avin (55566827300); Besharat, Mohsen (57205420202); Adeyeye, Kemi (23007910700)","35568240000; 55566827300; 57205420202; 23007910700","Inline pumped storage hydropower towards smart and flexible energy recovery in water networks","2020","Water (Switzerland)","12","8","2224","","","","10","10.3390/w12082224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090228748&doi=10.3390%2fw12082224&partnerID=40&md5=20956f7503c7a902d11f56655e83a33d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090228748"
